Title,Status,Summary,Notice Type,Approval Number,Executing Agency,Contractor Name,Address,Total Contract Amount (US$),Contract Amount Financed by ADB (US$)
Loan 3793-INO: Emergency Assistance for Rehabilitation and Reconstruction (EARR) Project [CW Gumbasa Package 3],Status: Closed Deadline: 15 Oct 2021,"52316-001; Indonesia; Agriculture, natural resources and rural development; Posting date: 21 Sep 2021",Invitation for Bids,3793,Null,Null,Null,Null,Null
CWP-02: Construction of Buildings for School of Postgraduate Faculty of Economy and Business Education and Faculty of Arts and Design Education,Status: Awarded,50395-006; Indonesia; Education; Contract date: 21 Sep 2021,Contracts Awarded,Loan 3749,"Ministry of Education, Culture, Research and Technology",PT. Hutama Karya (Persero),Divisi Gedung Lantai II HK Tower Jl. Letjend MT Haryono Kav. 8 Cawang Jakarta Timur,"1,44,40,491.64","1,44,40,491.64"
PACKAGE OF TECHNICAL ASSESSMENT CONSULTANT(TAC),Status: Awarded,49141-001; Indonesia; Water and other urban infrastructure and services; Contract date: 21 Sep 2021,Contracts Awarded,Loan 3455,Ministry of Public Works & Housing,JV OF SINOTECH ENGINEERING CONSULTANT LTD.,JL.RAYA ISKANDARSYAH 66C KEB.BARU JAKSEL TAIPEI CHINA,"12,53,819.29","12,53,819.29"
52320-TIM: Presidente Nicolau Lobato International Airport PNLIA Expansion Project,Status: Active,52320-002; Timor-Leste; Transport; Posting date: 20 Sep 2021,Advance Notice,Null,Null,Null,Null,Null,Null
Civil Works for Lenakel Wharf Construction Litzlitz Wharf Construction Litzlitz Wreck Removal,Status: Awarded,42392-013; Vanuatu; Transport; Contract date: 20 Sep 2021,Contracts Awarded,Loan 3249,Ministry of Finance & Economic Management,The Fletcher Organisation (Vanuatu) Ltd.,Lot 28 Stella Mare Estate Teouma Road Second Lagoon Port Vila Vanuatu PO Box 167 Port Vila Vanuatu,"12,25,942.00","12,25,942.00"
ICB-4.0(DRPL)/DESWSP/2018 - Distribution Reinforcement Pipeline inside Dhaka 21-24KM,Status: Awarded,42173-013; Bangladesh; Water and other urban infrastructure and services; Contract date: 20 Sep 2021,Contracts Awarded,Loan 3051,Dhaka Water Supply and Sewerage Authority,CHINA GEO-ENGINEERING CORPORATION,Building 2 Yard 92 Xiangshan SouthRoad Haidian District Beijing P. R. China,"6,92,55,338.22","46,30,691.78"
IMPROVEMENT AND UPGRADATION OF SERCHHIP TO BUARPUIROAD (MZ02),Status: Awarded,37143-033; India; Transport; Contract date: 20 Sep 2021,Contracts Awarded,Loan 3073,Ministry of Development of North Eastern Region,M/S TANTIA CONSTRUCTION LTD.,DD-30 SECTOR 1 SALTLAKE CITY KOLKATA 700 064 INDIA,"2,78,35,520.80","1,48,90,775.21"
CONSTRUCTION OF DEVELOPMENT CENTER FOR PERSONS WITDISABILITIES IN KHOVD AIMAG.,Status: Awarded,48076-002; Mongolia; Health; Contract date: 20 Sep 2021,Contracts Awarded,Loan 3605,Ministry of Labor and Social Protection,JV OF ELBEGGUN LLC AND ASIAN CITY LLC,JARGALANT SOUM BAG 4 BUGAT 4-23 KHOVD AIMAG MONGOLIA,"14,01,445.43","12,28,954.07"
PACKAGE HT10: CONSTRUCTION OF WORK: INFRASTRUCTURE FOR FRUIT FARM DEVELOPMENT IN LOC YEN COMMUNE HUONG KHE DISTRICT HA TINH PROVINCE,Status: Awarded,49026-003; Viet Nam; Transport; Contract date: 20 Sep 2021,Contracts Awarded,Loan 3635,Provincial People's Committee of Ha Tinh Province,BAC A - HACC1 - KIM THANH DAT,HA TINH - HANOI - NGHE AN VIET NAM SOC REP OF,"21,56,924.96","16,80,609.48"
Community Awareness and Public Participation Consultant (CAPP),Status: Awarded,42267-031; India; Water and other urban infrastructure and services; Contract date: 20 Sep 2021,Contracts Awarded,Loan 3972,Local Self Government Department (LSGD),IPE Global Limited in subconsultant with Orion Infra Consulting Private Limited,B-84 Defence Colony New Delhi-110024 India,"50,63,744.94","49,58,610.06"
Workshop/Training Equipment for Centers,Status: Awarded,50024-002; Kyrgyz Republic; Education; Contract date: 20 Sep 2021,Contracts Awarded,Grant 0553,Ministry of Education and Science: Ministry of Finance,Consortium Empire LLC and partner ,"57 Kulatov Steet, Bishkek, Kyrgyz Republic","12,19,421.73",Null
CONSULTANCY SERVICES FOR CONSTRUCTION IMPROVEMENT/UPGRADATION OF SERCHHIP TO BUARPUI (MZ202) PROJECT2 ROAD IN MIZORAM,Status: Awarded,37143-033; India; Transport; Contract date: 20 Sep 2021,Contracts Awarded,Loan 3073,Ministry of Development of North Eastern Region,MSV INTERNATIONAL INC.,11101 NE 60TH STREET KIRKLAND WASHINGTON UNITED STATES,"18,79,847.97","5,00,459.43"
SOL 5121-001: Urban Water Supply and Sanitation Sector Project (Co-financed between ADB/EU/WB),Status: Closed Deadline: 01 Nov 2021,51271-001; Solomon Islands; Water and other urban infrastructure and services; Posting date: 20 Sep 2021,Invitation for Bids,603,Null,Null,Null,Null,Null
Communications Expert,Status: Closed Deadline: 24 Sep 2021,51394-001; Uzbekistan; Public sector management; Posting date: 18 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Support for Implementation of the Asia-Pacific Climate Finance Fund,Status: Closed Deadline: 24 Sep 2021,"51163-001; Regional, Philippines, Viet Nam; Finance; Posting date: 18 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
COORDINATION SPECIALIST (FINANCE),Status: Closed Deadline: 24 Sep 2021,"55215-001; Regional, Cambodia, Indonesia, Lao Peoples Democratic Republic, Philippines, Thailand, Timor-Leste, Viet Nam; Health; Posting date: 18 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Health Systems planning Expert,Status: Closed Deadline: 24 Sep 2021,54009-001; India; Health; Posting date: 18 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Communications Specialist,Status: Closed Deadline: 24 Sep 2021,51175-001; Regional; Water and other urban infrastructure and services; Posting date: 18 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Developing Innovative Community-Based Long-Term Care Systems and Services - Capacity Building Facilitator for the Community-Based Pilot in Yogyakarta,Status: Closed Deadline: 24 Sep 2021,"53370-001; Regional, Indonesia, Mongolia, Sri Lanka, Viet Nam; Health; Posting date: 18 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Circular Economy and Waste Management Technical Specialist (International),Status: Closed Deadline: 24 Sep 2021,52064-001; Regional; Water and other urban infrastructure and services; Posting date: 18 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Support to the Implementation of Strategy 2030 Operational Plans - Developing the Health and Care Workforce in Asia and the Pacific Region,Status: Closed Deadline: 24 Sep 2021,54023-001; Regional; Multisector; Posting date: 18 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
TA COORDINATOR/SENIOR PROJECT COORDINATOR,Status: Closed Deadline: 24 Sep 2021,"55215-001; Regional, Cambodia, Indonesia, Lao Peoples Democratic Republic, Philippines, Thailand, Timor-Leste, Viet Nam; Health; Posting date: 18 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Environmental Safeguards Specialist (ESS) (Individual-National) for Rural Connectivity Improvement Project,Status: Closed Deadline: 02 Oct 2021,"48218-003; Nepal; Agriculture, natural resources and rural development; Posting date: 18 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Social Safeguards Specialist (SSS) (Individual-National) for Rural Connectivity Improvement Project,Status: Closed Deadline: 02 Oct 2021,"48218-003; Nepal; Agriculture, natural resources and rural development; Posting date: 18 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Financial Auditor,Status: Closed Deadline: 12 Oct 2021,48414-006; Uzbekistan; Transport; Posting date: 18 Sep 2021,Firm - Consulting,Null,Null,Null,Null,Null,Null
CECC Main Building Construction at Zigui,Status: Awarded,"49309-002; China, Peoples Republic of; Health; Contract date: 18 Sep 2021",Contracts Awarded,Loan 3767,Yichang Municipal Government,Tianbao Construction Group Co. Ltd.,Guanyun East Road #33 Zhuozhou City Baoding City in Hebei Province,"23,47,581.07","23,45,348.06"
Building construction-Geriatric Hospital Construction,Status: Awarded,"49309-002; China, Peoples Republic of; Health; Contract date: 18 Sep 2021",Contracts Awarded,Loan 3767,Yichang Municipal Government,Shanxi Construction Engineering Group Co. Ltd,9 Xinjian Road Yingze District Taiyuan Province Shanxi Province 030032,"2,27,59,450.50","2,27,01,397.05"
Social Development and Gender Assistant,Status: Closed Deadline: 23 Sep 2021,52064-001; Regional; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Specialist on Technical Measures of Trade (Technical Barriers to Trade-Chemicals),Status: Closed Deadline: 23 Sep 2021,53426-001; Uzbekistan; Industry and trade; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
LAO: National M&E and Data Officer - COVID-19 Vaccine Deployment,Status: Closed Deadline: 23 Sep 2021,54079-001; Regional; Health; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Social Development and Gender Specialist,Status: Closed Deadline: 23 Sep 2021,54131-002; Maldives; Energy; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
PRBFRMP - Environment Specialist,Status: Closed Deadline: 23 Sep 2021,"51322-001; Regional, Bangladesh, Bhutan, Nepal, Sri Lanka; Agriculture, natural resources and rural development; Posting date: 17 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
GESI Specialist (for Health and Education projects in India),Status: Closed Deadline: 23 Sep 2021,"54305-001; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Energy; Posting date: 17 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Supporting Adaptation Decision Making for Climate Resilient Investments,Status: Closed Deadline: 30 Sep 2021,50121-001; Regional; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Trade Specialist,Status: Closed Deadline: 01 Oct 2021,"53029-001; Mongolia; Agriculture, natural resources and rural development; Posting date: 17 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Smart Cities Specialist - PRC (53080-001): Heilongjiang Green Transformation Demonstration Project and Program,Status: Closed Deadline: 06 Oct 2021,53116-001; Regional; Information and communication technology; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
3710-IND: Madhya Pradesh Skills Development Project [MPSDP/ITI/Equipment/16],Status: Closed Deadline: 13 Oct 2021,48493-002; India; Education; Posting date: 17 Sep 2021,Invitation for Bids,3710,Null,Null,Null,Null,Null
3710-IND: Madhya Pradesh Skills Development Project [MPSDP/ITI/Equipment/17],Status: Closed Deadline: 14 Oct 2021,48493-002; India; Education; Posting date: 17 Sep 2021,Invitation for Bids,3710,Null,Null,Null,Null,Null
TA Consulting Firm,Status: Closed Deadline: 20 Oct 2021,55131-002; Posting date: 17 Sep 2021,Firm - Consulting,Null,Null,Null,Null,Null,Null
3710-IND: Madhya Pradesh Skills Development Project [MPSDP/ITI/Equipment/08 R1] - Rebidding,Status: Closed Deadline: 21 Oct 2021,48493-002; India; Education; Posting date: 17 Sep 2021,Invitation for Bids,3710,Null,Null,Null,Null,Null
3710-IND: Madhya Pradesh Skills Development Project [MPSDP/ITI/Equipment/08 R2] - Rebidding,Status: Closed Deadline: 22 Oct 2021,48493-002; India; Education; Posting date: 17 Sep 2021,Invitation for Bids,3710,Null,Null,Null,Null,Null
Skills and Enterprise Development Specialist,Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Director Reforms,Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Infrastructure Engineer (SWM),Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Project Director,Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Monitoring & Evaluation Officer,Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Director Technical,Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Internal Auditor,Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Finance & Account Officer (Reporting),Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Municipal Finance Specialist,Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Director Compliance,Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Capacity Development Specialist - Gender and Social Inclusion GESI (WASH and SWM),Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
GIS Specialist,Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Media and Communication Officer,Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Wastewater Treatment Specialist,Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Finance & Account Officer (Accounting),Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
M&E Officer,Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
GIS Officer,Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Urban Planner,Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Scholarships Program Specialist,Status: Closed Deadline: 25 Oct 2021,51036-002; Pakistan; Water and other urban infrastructure and services; Posting date: 17 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
