S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref,Organisation Chain
1263.,16-Jun-2023 12:10 PM,31-Aug-2023 03:00 PM,01-Sep-2023 11:30 AM,[IE Services during Operation and Maintenance Period for Six-laning of Chilakaluripet to Nellore section of NH-16 from Km.1182.802 to Km.1366.547(length 183.620) in the State of AP under NHDP Phase V to be executed as BOT(Toll) project on DBFOT patter] [12011/IE/REP/NHAI/PIU/NEL/2023][2023_NHAI_157727_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI
1264.,15-Jun-2023 09:00 AM,31-Aug-2023 03:00 PM,01-Sep-2023 03:30 PM,[Deployment of 4 numbers of new HMCs of 120 Ton capacity or above at VOC Port operated berths on License mode for a period of 10 years] [MEE/CMEP1/MEC/4HMC/V1/23][2023_VOCPT_157421_1],V.O.Chidambaranar Port Trust||Mechanical and Electrical Department - Administration Office
1265.,10-Aug-2023 05:30 PM,31-Aug-2023 03:00 PM,01-Sep-2023 03:00 PM,[SPECIAL AUDIT OF TERMINAL OPERATOR Ms VCTPL EXTENSION TERMINAL.] [FA/PPP/2023-24/001][2023_VPT_164132_1],Visakhapatnam Port Trust||Mech. and Elec. Engineering - VPT||Materials Management Dvsn. - VPT
1266.,17-Aug-2023 03:30 PM,31-Aug-2023 03:30 PM,05-Sep-2023 03:30 PM,[Term Contract For Factory Buildings at OEFHz] [OEFH/EO/CIVIL/E-PROC-01/23-24][2023_TCL_164587_1],TROOP COMFORTS LIMITED||Ordnance Equipment Factory - Hazratpur UP
1267.,03-Aug-2023 03:00 PM,31-Aug-2023 03:30 PM,02-Sep-2023 11:00 AM,"[Sweeping, mopping, cleaning and running of newly constructed Water Quality Laboratory at DVC, Maithon under NHP] [M/CandM/MAITHON/NIT/NHP/656 DT 02/08/23][2023_DVC_163237_1]",Damodar Valley Corporation||Maithon - DVC||C and M
1268.,11-Aug-2023 04:00 PM,31-Aug-2023 04:00 PM,01-Sep-2023 04:00 PM,[Tender for Packaged Food Outside NTB Kolhapur Airport] [AAI/RHQ/Kolhapur - CL-15024/10/2023-COMML-WR/2][2023_AAI_164235_1],Airports Authority of India||Western Region - AAI||RHQ-WR - AAI
1269.,17-Aug-2023 04:00 PM,31-Aug-2023 04:00 PM,01-Sep-2023 04:00 PM,[Appointment of Safety Consultant for O and M Project Packages under RO-Madurai] [NHAI/17011/02/19/2023/RO Madurai][2023_NHAI_164762_1],National Highways Authority of India||RO-Chennai - NHAI||Trichy - NHAI
1270.,18-Aug-2023 04:00 PM,31-Aug-2023 04:00 PM,01-Sep-2023 05:00 PM,[Construction of Research Scholar Hostel] [NPCC/336/NWZ/CSIR-CSIO/286][2023_NPCC_164877_1],National Projects Construction Corporation Limited||North Western Zone (Gurugram) - NPCC
1271.,10-Aug-2023 12:00 PM,31-Aug-2023 04:00 PM,01-Sep-2023 04:00 PM,"[Advertising Rights Concession to Design, Develop, Operate and Market the Advertisement Opportunity at Shaheed Bhagat Singh International Airport, Chandigarh] [CHIAL/COMML/ADVT/2023][2023_AAI_163581_1]",Airports Authority of India||Northern Region - AAI||CHANDIGARH - AAI||COMMERCIAL-CG - AAI
1272.,10-Aug-2023 05:00 PM,31-Aug-2023 05:00 PM,01-Sep-2023 05:00 PM,[Multi Brand Tea Retail Shop] [AAI/BD/COMML/MULTI BRAND TEA STORE ][2023_AAI_164085_1],Airports Authority of India||Eastern Region - AAI||BAGDOGRA - AAI||COMMERCIAL-VEBD - AAI
1273.,20-Jul-2023 10:40 AM,31-Aug-2023 05:00 PM,04-Sep-2023 11:00 AM,[SUPPLY OF HOMOEOPATHIC MEDICINES] [ADRH 2325 - RECALL][2023_MCD_161605_1],Municipal Corporation of Delhi||Hospital Administration Department - MCD
1274.,20-Jul-2023 10:40 AM,31-Aug-2023 05:00 PM,04-Sep-2023 11:00 AM,[SUPPLY OF HOMOEOPATHIC SUNDRY ITEMS] [ADRH 2325 - RECALL][2023_MCD_161605_2],Municipal Corporation of Delhi||Hospital Administration Department - MCD
1275.,11-Aug-2023 03:15 PM,31-Aug-2023 05:00 PM,02-Sep-2023 11:00 AM,"[OF Cable Construction Works for various OFC Patch Works Routes-2022 for DE TP Jammu division under the jurisdiction of DGM Telecom Project Jalandhar, Jammu area] [CNNCO-17/11/9/2022-CHD/JMT/08 Dated 11.08.2023][2023_BSNL_164206_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Projects||GM TP JL||DGM (TP) J and K
1276.,22-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,31-Aug-2023 05:30 PM,[TCIL/DT/ITTIII/ETHP/IMS/AUG/01] [TCIL/ITT3/ETHP/IMS/AUG/01][2023_TCIL_165296_1],Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||Project Coordination Division - TCIL
1277.,22-Aug-2023 05:00 PM,31-Aug-2023 05:00 PM,01-Sep-2023 05:00 PM,[SUPPLY OF VA1 Lock Nut] [ILP/ SC2/ADP 169/48 TE-0944][2023_ILTD_165291_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala)
1278.,10-Aug-2023 05:00 PM,31-Aug-2023 05:00 PM,01-Sep-2023 05:00 PM,[Apparel Retail Shop in SHA] [AAI/BD/COMML/APPAREL RETAIL SHOP][2023_AAI_164096_1],Airports Authority of India||Eastern Region - AAI||BAGDOGRA - AAI||COMMERCIAL-VEBD - AAI
1279.,11-Aug-2023 06:25 PM,31-Aug-2023 05:30 PM,01-Sep-2023 05:30 PM,"[Construction of Assembly hall and Other Infrastructure works at Chaudhary Bansi Lal University, Prem Nagar, Bhiwani] [WAP/CMU-I/2023-24/CBLU/T2B/15][2023_WAPCO_164333_1]",WAPCOS Limited||Centre for Environment and Construction Management||Construction Management - CECM
1280.,16-Aug-2023 02:00 PM,31-Aug-2023 06:00 PM,02-Sep-2023 09:00 AM,[De Nitration Plant] [TE/01/RR/EO/2023-24/OFI][2023_MIL_164398_1],Munitions India Limited||Ordnance Factory Itarsi Itarsi Madhya Pradesh
1281.,16-Aug-2023 02:00 PM,31-Aug-2023 06:00 PM,02-Sep-2023 09:00 AM,[De Nitration Plant] [TE/01/RR/EO/2023-24/OFI][2023_MIL_164398_1],Munitions India Limited||Ordnance Factory Itarsi Itarsi Madhya Pradesh
1282.,16-Aug-2023 06:00 PM,31-Aug-2023 06:00 PM,04-Sep-2023 02:00 PM,[Repairs / Renovation of suit No.1 and its connected area of Khamaria Bhavan in West Land estate area at OFK.] [3320/EO/CONT/23-24/19][2023_MIL_164204_1],Munitions India Limited||Ordnance Factory Khamaria Jabalpur Madhya Pradesh
1283.,22-Aug-2023 06:00 PM,31-Aug-2023 06:00 PM,05-Sep-2023 12:30 PM,[DG RC] [EE(E)/BSNL/ED/SML/NIT/23-24/22][2023_BSNL_165321_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Himachal Pradesh Telecom Circle Shimla||CE (Electrical)
1284.,21-Aug-2023 06:00 PM,31-Aug-2023 06:00 PM,04-Sep-2023 10:00 AM,[PUR/SEC/119/23 SPIN COATING UNIT] [PUR/SEC/119/23][2023_CSIR_165197_1],Council of Scientific and Industrial Research||NIIST-Thiruvanthapuram - CSIR||Purchase-NIIST - CSIR
1285.,23-Aug-2023 06:00 PM,31-Aug-2023 06:00 PM,04-Sep-2023 03:30 PM,[Internal Painting of Newly allotted Staff quarter Type VI due to change of occupancy at Fataha Compound Mirzapur under BA Varanasi] [02/2023-24/EEBSNLCD/VNS][2023_BSNL_165414_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Varanasi
1286.,22-Aug-2023 03:00 PM,31-Aug-2023 06:00 PM,02-Sep-2023 12:30 PM,[Raising of cattle Trap and developing Entrance Gate portion of SQ compound Adabari Guwahati for resisting the entry of outside water inside the compound during heavy Rain] [eNIT17/BSNL/CDGH/2023-24][2023_BSNL_165256_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Assam Telecom Circle Guwahati||CE (Civil)||EE (Civil), Guwahati"
1287.,23-Aug-2023 06:00 PM,31-Aug-2023 06:00 PM,02-Sep-2023 03:30 PM,"[Special repairs to spalling of concrete, External wall painting and other miscellaneous civil repair works at TE building, Vikarabad] [NIT No.46/BSNL/CD-I/HYD/2023-24][2023_BSNL_165461_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Telengana Telecom Circle- Hyderabad||CE Civil
1288.,21-Aug-2023 06:00 PM,31-Aug-2023 06:00 PM,04-Sep-2023 10:00 AM,[PUR/SEC/127/23 ULTRA LOW TEMPERATURE FREEZER] [PUR/SEC/127/23][2023_CSIR_165173_1],Council of Scientific and Industrial Research||NIIST-Thiruvanthapuram - CSIR||Purchase-NIIST - CSIR
1289.,22-Aug-2023 06:00 PM,31-Aug-2023 06:00 PM,06-Sep-2023 11:00 AM,"[Replacement of Old G.I. pipe line from Pump room to Type-III Qtrs of ABCD block and Type-IV Qtrs of EFG Block at BSNL Colony Vaishali Nagar,Ajmer] [NIT No 15/ EE(C)/BSNL-CIVIL/JDR /2023-24][2023_BSNL_165304_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||CE (CIVIL)
1290.,11-Aug-2023 10:00 AM,01-Sep-2023 10:00 AM,02-Sep-2023 10:00 AM,[Certain essential repair / renovation works of fencing around admin bldg. at OFMK] [76026/TE-21/OFMK/EOC/Admin Fencing/23-24][2023_AVNL_164039_1],Armoured Vehicles Nigam Limited||Ordnance Factory Medak-Yeddumailaram
1291.,19-Aug-2023 11:00 AM,01-Sep-2023 11:00 AM,02-Sep-2023 11:00 AM,[Emergent Works for Providing Short Term Measures to 4Nos of MORTH identified blackspots of Koyambedu to Maduravoyal Section of NH 4 from Km 9.410 to Km 13.535 in the State of Tamil Nadu] [NHAI/PIU CHN/NH-4/ROAD SAFETY/2023-24/01][2023_NHAI_164976_1],National Highways Authority of India||RO-Chennai - NHAI||Chennai - NHAI
1292.,11-Aug-2023 05:00 PM,01-Sep-2023 11:00 AM,02-Sep-2023 11:30 AM,[SUPPLY OF MEDICINE] [MS/CMM/TAPS1N2/64614][2023_NPCIL_164210_1],Nuclear Power Corporation Of India Limited||Tarapur Maharashtra Site - NPCIL||Contracts and Materials Management-NPCIL
1293.,18-Jul-2023 12:00 PM,01-Sep-2023 11:00 AM,04-Sep-2023 11:30 AM,[Operations and Maintenance of MMLP at Jalna in Maharashtra on Fixed Lease Rent PLUS Revenue Share model.] [NHLML/ MMLP/ JALNA/ O and M/2023][2023_NHAI_161440_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI
1294.,04-Aug-2023 06:00 PM,01-Sep-2023 11:00 AM,02-Sep-2023 11:00 AM,[DVC_DSTPS_CIVIL-STR PT_16] [DVC_DSTPS_CIVIL-STR PT_16][2023_DVC_163402_1],Damodar Valley Corporation||DSTPS Andal - DVC||C and M
1295.,22-Aug-2023 06:00 PM,01-Sep-2023 11:00 AM,02-Sep-2023 11:00 AM,[for outsourcing of maintenance and provisioning of LL BB and Leased Line for External plant of Copper Network of Jajpur Town in Cuttack Telecom District] [OD-CTK-23/11 (11)/8/2023 PLG Infra CTK OD][2023_BSNL_153929_2],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Odisha Telecom Circle||GMTD,Cuttack"
1296.,11-Aug-2023 05:00 PM,01-Sep-2023 11:00 AM,02-Sep-2023 11:30 AM,[SUPPLY OF MEDICINE] [MS/CMM/TAPS1N2/64554][2023_NPCIL_164199_1],Nuclear Power Corporation Of India Limited||Tarapur Maharashtra Site - NPCIL||Contracts and Materials Management-NPCIL
1297.,11-Aug-2023 04:00 PM,01-Sep-2023 12:00 PM,02-Sep-2023 02:00 PM,[Outsourcing of Maintenance of copper network in ONGOLE OA] [GTR/OP/ONG/OUTSOURCING OF COPPER NETWORK TENDER][2023_BSNL_164269_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Guntur
1298.,22-Aug-2023 06:00 PM,01-Sep-2023 12:00 PM,02-Sep-2023 12:00 PM,[DE/CNTxWP/PN/W4IV/ANR-TSG/168 (AT-1) DT 22.08.23] [DE/CNTxWP/PN/W4IV/ANR-TSG/168 (AT-1) DT 22.08.23][2023_BSNL_165260_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Project||DGM, SMA, Pune"
1299.,21-Jul-2023 06:50 PM,01-Sep-2023 12:00 PM,02-Sep-2023 12:00 PM,"[Facility Services in NHAI Regional Office and its site offices PIUs. (Providing manpower viz.Stenographers, Accountants, Computer Operators/ Office Assistants, Site Engineers/ Peon/Chowkidar / Security Guards, Sweepers) for two years] [NHAI/RO-GNR/Office-Staff /July/2023][2023_NHAI_161984_1]",National Highways Authority of India||RO-Gandhinagar - NHAI
1300.,23-Aug-2023 05:00 PM,01-Sep-2023 12:00 PM,02-Sep-2023 12:30 PM,"[Operation and all inclusive comprehensive maintenance of Audio Visual System at Bharat Sanchar Bhawan, H.C. Mathur Lane, Janpath, New Delhi] [23/NIT/E-Tender/2023-24/ED-I][2023_BSNL_165443_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||PCE Electrical
1301.,23-Aug-2023 05:00 PM,01-Sep-2023 12:00 PM,02-Sep-2023 12:30 PM,"[Operation and all inclusive comprehensive maintenance of Audio Visual System at Bharat Sanchar Bhawan, H.C. Mathur Lane, Janpath, New Delhi] [23/NIT/E-Tender/2023-24/ED-I][2023_BSNL_165443_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||PCE Electrical
1302.,11-Aug-2023 09:00 AM,01-Sep-2023 12:00 PM,02-Sep-2023 12:00 PM,[Chandigarh Division OFC Patch Works] [CNNCO-17/11/59/2023-CHD dated 11.08.2023][2023_BSNL_164088_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Projects||GM TP JL||DGM (TP) Jalandhar
1303.,16-Jun-2023 01:00 PM,01-Sep-2023 12:00 PM,04-Sep-2023 12:30 PM,"[R and M Works of 04 Nos Substations (Ramkanali, Purulia, ASP and Kalipahari) of DVC in the state of West Bengal] [DVC/T/HQ/SPE/CMM/WS/00057/Cap][2023_DVC_157658_1]",Damodar Valley Corporation||HQ Kolkata - DVC||C and M
1304.,22-Aug-2023 06:00 PM,01-Sep-2023 12:00 PM,02-Sep-2023 12:00 PM,[DE/CNTxWP/KPR/T-2/Vol-14/107 (CD-3) DTD 22.08.2023] [DE/CNTxWP/KPR/T-2/Vol-14/107 (CD-3) DTD 22.08.2023][2023_BSNL_165289_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Project||DGM, SMA, Pune"
1305.,22-Aug-2023 06:00 PM,01-Sep-2023 12:00 PM,02-Sep-2023 12:00 PM,[DE/CNTxWP/PN/W4IV/ANR-TSG/168 (AT-1) DT 22.08.23] [DE/CNTxWP/PN/W4IV/ANR-TSG/168 (AT-1) DT 22.08.23][2023_BSNL_165260_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Project||DGM, SMA, Pune"
1306.,10-Aug-2023 05:00 PM,01-Sep-2023 12:00 PM,02-Sep-2023 12:00 PM,[PATCH WORK AGRA DIVISION] [TP/AG/OFC/ Patch Work /OTN/CN-Tx AG/T-107][2023_BSNL_164099_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||Sr.GM (M) New Delhi
1307.,10-Aug-2023 06:00 PM,01-Sep-2023 12:00 PM,02-Sep-2023 12:00 PM,[PATCH WORK ALIGARH DIVISION] [TP/AG/OFC/Patch Work /OTN/Aligarh Division/T-108][2023_BSNL_164126_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||Sr.GM (M) New Delhi
1308.,07-Jul-2023 09:00 AM,01-Sep-2023 12:00 PM,04-Sep-2023 12:00 PM,[INTEGRATION OF MICRO-STEAM TURBINE SYSTEM IN THE EXISTING VAPOUR ABSORPTION REFRIGERATION SYSTEM (VAM) FOR HARNESSING WASTE ENERGY INTO ELECTRICAL ENERGY] [DVC/VAM/KTPS/EOI/01][2023_DVC_160076_1],Damodar Valley Corporation||HQ Kolkata - DVC||C and M
1309.,17-Aug-2023 03:45 PM,01-Sep-2023 12:30 PM,02-Sep-2023 01:00 PM,[Supply of Ropeway Spares] [RCF/MM/81(23)][2023_CCI_164752_1],Cement Corporation of India Limted||Rajban Cement Factory - CCI
1310.,12-Aug-2023 09:00 AM,01-Sep-2023 01:00 PM,02-Sep-2023 03:30 PM,[4G SATURATION TENDER 28 ] [TENDER 28 RETENDER][2023_BSNL_164350_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Chittoor
1311.,02-Jun-2023 06:00 PM,01-Sep-2023 01:00 PM,01-Sep-2023 02:30 PM,[PMSSY IV Immuno Fluorescent Microscope] [HITES/PCD/PMSSY-IV/32/Mix/ 2023-24][2023_HLL_155962_6],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
1312.,02-Jun-2023 06:00 PM,01-Sep-2023 01:00 PM,01-Sep-2023 02:30 PM,[PMSSY IV Grossing Station Automated] [HITES/PCD/PMSSY-IV/32/Mix/ 2023-24][2023_HLL_155962_5],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
1313.,02-Jun-2023 06:00 PM,01-Sep-2023 01:00 PM,01-Sep-2023 02:30 PM,[PMSSY IV Ultrasonic Surgical Aspirator] [HITES/PCD/PMSSY-IV/32/Mix/ 2023-24][2023_HLL_155962_16],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
1314.,02-Jun-2023 06:00 PM,01-Sep-2023 01:00 PM,01-Sep-2023 02:30 PM,[PMSSY IV ICP Monitor] [HITES/PCD/PMSSY-IV/32/Mix/ 2023-24][2023_HLL_155962_17],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
1315.,02-Jun-2023 06:00 PM,01-Sep-2023 01:00 PM,01-Sep-2023 02:30 PM,[PMSSY IV Transcutaneous Bilirubin Analyzer] [HITES/PCD/PMSSY-IV/32/Mix/ 2023-24][2023_HLL_155962_14],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
1316.,02-Jun-2023 06:05 PM,01-Sep-2023 01:00 PM,01-Sep-2023 02:30 PM,[PMSSY IV ICP Monitor] [HITES/PCD/PMSSY-IV/32/Mix/ 2023-24][2023_HLL_155962_18],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
1317.,02-Jun-2023 06:00 PM,01-Sep-2023 01:00 PM,01-Sep-2023 02:30 PM,[PMSSY IV Microtome Fully Automated] [HITES/PCD/PMSSY-IV/32/Mix/ 2023-24][2023_HLL_155962_4],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
1318.,12-Aug-2023 09:00 AM,01-Sep-2023 01:00 PM,02-Sep-2023 03:30 PM,[4G SATURATION TENDER 28 ] [TENDER 28 RETENDER][2023_BSNL_164350_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Chittoor
1319.,10-Aug-2023 12:00 PM,01-Sep-2023 01:00 PM,02-Sep-2023 02:30 PM,[Biplane DSA Unit] [HITES/PCD/AIIMS PATNA/RT-04/23-24][2023_HITE_164027_1],HITES
1320.,12-Aug-2023 09:00 AM,01-Sep-2023 01:00 PM,02-Sep-2023 03:00 PM,"[Tender for Laying PLB pipe/ Duct and Associated works by Open Trench Method/Trenchless Technology, Optical Fibre Cable Pulling/Blowing and splicing works etc., area as per given OFC Route in NIT Jalna SSA .] [N-2/388/JLN01 /4G BKHAUL/OFC laying/Jalna SSA/ 23-][2023_BSNL_164354_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Maharashtra Telecom Circle||GMTD, Aurangabad"
1321.,11-Aug-2023 01:30 PM,01-Sep-2023 01:30 PM,02-Sep-2023 01:30 PM,"[Roof Repairs of RCC Roof of FDY, P and T, Main STORES, SMS and YMS and EM Building inside Factory area at OFMK] [76026/TE-22/OFMK/EOC/Roof Rep Fdy etc/23-24][2023_AVNL_164201_1]",Armoured Vehicles Nigam Limited||Ordnance Factory Medak-Yeddumailaram
1322.,17-Aug-2023 03:00 PM,01-Sep-2023 02:00 PM,02-Sep-2023 10:00 AM,"[PERIODICAL CLEANING OF OVER HEAD TANKS, WATER PUMP HOUSE, CLEANING THE ROOF OF RESIDENTIAL QUARTERS AND NON-RESIDENTIAL BUIDINGS AND REMOVAL OF THE PLANTS OVER THE RESIDENTIAL AND NON-RESIDENTIAL BUILDINGS AT HVF ESTATE.] [HVF/TE/13025/CEO/2023-24/36][2023_AVNL_164621_1]",Armoured Vehicles Nigam Limited||Heavy Vehicles Factory - Avadi
1323.,17-Aug-2023 03:00 PM,01-Sep-2023 02:00 PM,02-Sep-2023 10:00 AM,"[TERM CONTRACT FOR ARTIFICERS WORK FOR TYPE IV, V AND VI QUARTERS AREA AT HVF ESTATE.] [HVF/TE/13025/CEO/2023-24/34][2023_AVNL_164569_1]",Armoured Vehicles Nigam Limited||Heavy Vehicles Factory - Avadi
1324.,17-Aug-2023 03:00 PM,01-Sep-2023 02:00 PM,02-Sep-2023 10:00 AM,[TERM CONTRACT FOR ARTIFICERS WORK FOR PUBLIC BUILDINGS IN HVF ESTATE.] [HVF/TE/13025/CEO/2023-24/37][2023_AVNL_164626_1],Armoured Vehicles Nigam Limited||Heavy Vehicles Factory - Avadi
1325.,17-Aug-2023 03:00 PM,01-Sep-2023 02:00 PM,02-Sep-2023 10:00 AM,[PERCENTAGE RATE CONTRACT FOR ROAD REPAIRS IN HVF ESTATE.] [HVF/TE/13025/CEO/2023-24/35][2023_AVNL_164620_1],Armoured Vehicles Nigam Limited||Heavy Vehicles Factory - Avadi
1326.,16-Aug-2023 04:30 PM,01-Sep-2023 02:00 PM,02-Sep-2023 02:00 PM,[GM/BA-STP/Plg/Tender/BNP2/ STP/ZONE-1/2023-24 ] [GM/BA-STP/Plg/Tender/BNP2/ STP/ZONE-1/2023-24 ][2023_BSNL_164627_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Sitapur
1327.,11-Aug-2023 05:00 PM,01-Sep-2023 02:00 PM,02-Sep-2023 03:00 PM,[Patch works in Nanital Ranikhet Kaladungi Ramnagar Tharali Baijnath and Haldwani Rudrapur OFC route] [CNNCO-17/11/62/2023-DD/T-293][2023_BSNL_164212_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Projects||GM TP LW||DGM (TP) Dehradun
1328.,11-Aug-2023 06:50 PM,01-Sep-2023 02:00 PM,02-Sep-2023 02:30 PM,[Patch works in Laxsar-Roorkee Roorkee-Bhopa-Muzafarnagar OFC route] [CNNCO-17/11/65/2023-DD/T-296][2023_BSNL_164326_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Projects||GM TP LW||DGM (TP) Dehradun
1329.,11-Aug-2023 06:00 PM,01-Sep-2023 02:00 PM,02-Sep-2023 03:00 PM,[EOI for Franchisee-ship of sale of BSNL products and provision of services to BSNL In Bhuj BA] [GJBUJ-15/12(13)/1/2020-GJBUJ][2023_BSNL_164313_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Gujarat Telecom Circle||PGMTD, Bhuj"
1330.,17-Aug-2023 01:00 PM,01-Sep-2023 02:00 PM,02-Sep-2023 02:00 PM,"[Basic Design Office- Civil, Electrical, IT] [Basic Design Office- Civil, Electrical, IT ][2023_CSL_164700_1]",Cochin Shipyard Limited||HQ CSL (Kochi)||Civil - CSL
1331.,17-Aug-2023 03:00 PM,01-Sep-2023 02:00 PM,02-Sep-2023 10:00 AM,"[TERM CONTRACT FOR ARTIFICERS WORK FOR TYPE IV, V AND VI QUARTERS AREA AT HVF ESTATE.] [HVF/TE/13025/CEO/2023-24/34][2023_AVNL_164569_1]",Armoured Vehicles Nigam Limited||Heavy Vehicles Factory - Avadi
1332.,10-Aug-2023 05:00 PM,01-Sep-2023 02:30 PM,02-Sep-2023 03:00 PM,[RFQ 10487 Repair and maintenance of boundary wall in KCC plant area] [RFQ 10487][2023_HCL_164124_1],Hindustan Copper Limited||Khetri Copper Complex - Rajasthan||Contract Cell
1333.,17-Aug-2023 04:30 PM,01-Sep-2023 02:30 PM,02-Sep-2023 03:00 PM,[Patchwork under DE OFC Rewa] [PGM-BO/Tech/Rewa/PW-2/2023-24][2023_BSNL_164768_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Project||DGM, EMP, Jabalpur"
1334.,17-Aug-2023 04:30 PM,01-Sep-2023 02:30 PM,02-Sep-2023 03:00 PM,[Patchwork under DE OFC Sagar] [PGM-BO/Tech/Sagar/PW-2/2023-24][2023_BSNL_164782_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Project||DGM, EMP, Jabalpur"
1335.,18-Aug-2023 12:00 PM,01-Sep-2023 02:30 PM,02-Sep-2023 03:00 PM,[Supply of Spares for Siemens make HT VCB Breaker 6.6 KV] [TCF/MM/4028/23][2023_CCI_164840_1],Cement Corporation of India Limted||Tandur Cement Factory - CCI
1336.,17-Aug-2023 03:30 PM,01-Sep-2023 02:30 PM,02-Sep-2023 03:00 PM,[Patchwork under DE OFC Balaghat] [PGM-BO/Tech/BLG/PW-2/2023-24][2023_BSNL_164746_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Project||DGM, EMP, Jabalpur"
1337.,17-Aug-2023 03:30 PM,01-Sep-2023 02:30 PM,02-Sep-2023 03:00 PM,[Patchwork under Chhindwara OFC division] [PGM-BO/Tech/CHW/PW-2/2023-24][2023_BSNL_164751_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Project||DGM, EMP, Jabalpur"
1338.,17-Aug-2023 03:30 PM,01-Sep-2023 02:30 PM,02-Sep-2023 03:00 PM,[Patchwork under DE OFC Jabalpur] [PGM-BO/Tech/JBP/PW-1/2023-24][2023_BSNL_164756_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Project||DGM, EMP, Jabalpur"
1339.,19-Aug-2023 12:00 PM,01-Sep-2023 03:00 PM,02-Sep-2023 03:00 PM,[SUPPLY OF POWER CYLINDER ASSEMBLY] [ILP/SC2/ADP127/48 TE-0938][2023_ILTD_165036_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala)
1340.,11-Aug-2023 02:00 PM,01-Sep-2023 03:00 PM,02-Sep-2023 03:30 PM,[Expert service for Measuring Partial Discharge ] [Nam/Elect./CPP/NIT-04/2023/948][2023_BVFCL_164228_1],Brahmaputra Valley Fertilizer Corporation Limited||Electrical - BVFCL
1341.,31-Jul-2023 05:00 PM,01-Sep-2023 03:00 PM,02-Sep-2023 03:00 PM,[Laying of 48F/24F OFC under Rehabilation Work in Seoni OA] [W-30-642/OFC Rehab/Seoni/T-428/2023-24/][2023_BSNL_162799_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Madhya Pradesh Telecom Circle- Bhopal||O/o CGMT, MP Telecom Circle Bhopal"
1342.,12-Aug-2023 09:00 AM,01-Sep-2023 03:00 PM,02-Sep-2023 03:00 PM,[Supply of Printed Paper Carry Bags to various HINDLABS Facilities in Kerala] [HINDLABS CARRY BAG - HLL/SD/HCS/2023-24/Tender02][2023_HLL_164363_1],HLL Lifecare Limited||Corporate Head Office (Thiruvananthapuram) - HLL||HCS - Sourcing - HLL
