S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Details,Locations,Sector,Subsector
1435.0,23-Dec-2022 06:05 PM,20-Sep-2023 11:00 AM,21-Sep-2023 11:30 AM,[Six laning of Surat Nashik Ahmednagar Solapur MH-KNT Border Greenfield stretch Package-IV from km 107.000 (Ambegaon) to km 146.000 (Chehedi Khurdh) in the State of Maharashtra to be executed on Hybrid Annuity Mode under BMP] [NHAI/Tech/MH/S-N-A-S (Pkg-IV)/2022] [2022_NHAI_139380_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,,be executed on Hybrid Annuity Mode under BMP
1436.0,02-May-2023 11:00 AM,20-Sep-2023 11:00 AM,26-Sep-2023 11:00 AM,[Nuclear Island Mega EPC Package (NIMEP) ] [Tender No CMM/FTP/09-30-1-1255] [2023_NPCIL_152898_1],Nuclear Power Corporation Of India Limited||Corporate Head Quarters - NPCIL,,,
1437.0,23-Dec-2022 06:05 PM,20-Sep-2023 11:00 AM,21-Sep-2023 11:30 AM,[Six laning of Surat Nashik Ahmednagar Solapur MH-KNT Border Greenfield stretch Package-V from Km.146.000 (Chehedi Khurdh) to Km.190.560 (Khandalwadi) in the state of Maharashtra to be executed on Hybrid Annuity Mode under BMP] [NHAI/Tech/MH/S-N-A-S (Pkg-V)/2022] [2022_NHAI_139384_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,Maharashtra,be executed on Hybrid Annuity Mode under BMP
1438.0,29-Aug-2023 05:00 PM,20-Sep-2023 11:00 AM,21-Sep-2023 11:10 AM,[400815-RJJJND-22/15(23)/2/2023] [400815-RJJJND-22/15(23)/2/2023] [2023_BSNL_166043_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GMTD-Jhunjhunu||JTO Plg-II,,,
1439.0,28-Aug-2023 05:45 PM,20-Sep-2023 11:30 AM,21-Sep-2023 11:30 AM,"[Design, Drawing, Supply, Erection, Testing and Commissioning of 25 kV OHE work,Modification of Existing 25 kV AC, 50Hz single phase OHE,Switching Post and SCADA works at Existing yard at Mungoli Nirguda Open Cast Mine of Wani Area for WCL] [RITES /GM /NGP /WCL /Mungoli /OHE / T-06-2023 ] [2023_RITES_165892_1]",RITES Ltd.||RPO Nagpur - RITES,,kV,WCL
1440.0,03-Aug-2023 01:00 PM,20-Sep-2023 11:30 AM,21-Sep-2023 03:30 PM,[LIQUID NITROGEN] [1/PE230503/8] [2023_UCIL_163227_1],Uranium Corporation of India Limited||Purchase Department-Jharkhand - UCIL||Group 1 - UCIL,['UCIL'],,
1441.0,31-Aug-2023 05:15 PM,20-Sep-2023 12:00 PM,21-Sep-2023 12:00 PM,[Jammu Urban Zone-I] [JKJMU-11/12(13)/1/2023-JKJMU] [2023_BSNL_166281_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jammu and Kashmir Telecom Circle||O/o CGMT, Jammu and Kashmir, Jammu",,,
1442.0,31-Aug-2023 06:00 PM,20-Sep-2023 12:00 PM,21-Sep-2023 12:00 PM,[Jammu Rural ZOne-II] [JKJMU-11/12(13)/2/2023 Zone-II] [2023_BSNL_166292_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jammu and Kashmir Telecom Circle||O/o CGMT, Jammu and Kashmir, Jammu",,,
1443.0,31-Aug-2023 12:00 PM,20-Sep-2023 12:00 PM,21-Sep-2023 02:30 PM,[E-Tender documents for printing and supply of Marketing Material in Hamirpur BA] [HMR-BA-15/12/1/2023-HMR-BA/ 697100] [2023_BSNL_166198_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Himachal Pradesh Telecom Circle Shimla||GMTD,Hamirpur",,,Hamirpur BA
1444.0,08-Sep-2023 06:00 PM,20-Sep-2023 12:00 PM,21-Sep-2023 12:00 PM,[DE/CN TX W-P/BSNLSRVCS/2023-2024/176 DT 08.09.23] [DE/CN TX W-P/BSNLSRVCS/2023-2024/176 DT 08.09.23] [2023_BSNL_167125_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Project||DGM, SMA, Pune",,DE,
1445.0,02-Aug-2023 02:50 PM,20-Sep-2023 12:00 PM,21-Sep-2023 12:30 PM,[Routine Maintenance including Incident Management for Operation and Maintenance of Kathipudi to Start of Kakinada Bypass Section of NH216 from Km.0.000 to Km.27.500 in the state of Andhra Pradesh.] [NHAI/ROVJA/OM/KTI-KKD/2023] [2023_NHAI_163096_1],National Highways Authority of India||RO-Bhubaneswar - NHAI,['INDIA'],Incident,
1446.0,26-Jul-2023 06:00 PM,20-Sep-2023 12:00 PM,21-Sep-2023 12:30 PM,"[Supply, Erection, Testing and Commissioning of 2 nos. of 1500 MT Ash Silos including all accessories and Weigh Bridge for U#7-8 under DVC MTPS] [DVC/Ten/HQ/PHC/CMM/WS/00022] [2023_DVC_162112_1]",Damodar Valley Corporation||HQ Kolkata - DVC||C and M,,,U#7 - 8 under DVC MTPS
1447.0,23-Aug-2023 12:00 PM,20-Sep-2023 12:00 PM,21-Sep-2023 12:00 PM,[DVC/Tender/Head Quarter/CIVIL/CMM/Works and Service/00032] [DVC/TENDER/HQ/CIVIL/032] [2023_DVC_165351_1],Damodar Valley Corporation||RTPS Raghunathpur - DVC||C and M,,DVC,
1448.0,18-Aug-2023 05:00 PM,20-Sep-2023 12:00 PM,21-Sep-2023 12:00 PM,[OFC Rehabilitation work in RTTC Division] [DGMTP-LW/RTTC Div. Patch Work/T-03/2023-24] [2023_BSNL_164878_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||Sr.GM (M) Lucknow,,OFC,
1449.0,30-Aug-2023 12:00 PM,20-Sep-2023 01:00 PM,21-Sep-2023 03:00 PM,[procurement of throw away carbide inserts] [HMB/PUR/22/TL/184761/062-6383] [2023_HEC_166083_1],Heavy Engineering Corporation Limited||Heavy Machine Building Plant - HEC||Purchase-HMBP - HEC,,,throw away carbide inserts
1450.0,29-Aug-2023 02:00 PM,20-Sep-2023 01:00 PM,21-Sep-2023 02:00 PM,"[PROCUREMENT OF MOLECULAR SIEVES FOR GAIL (INDIA) LIMITED, GAS PROCESSING UNIT, GANDHAR ] [GAIL/GDR/LPG/CNP/OPSN/2K2301] [2023_GAIL_165623_1]",GAIL (India) Limited||GAIL India Limited- Gandhar,['INDIA'],GANDHAR,"GAIL ( INDIA ) LIMITED , GAS PROCESSING UNIT ,"
1451.0,18-Aug-2023 10:00 AM,20-Sep-2023 02:00 PM,21-Sep-2023 02:00 PM,"[Removal of silt and Floating material from major geddas and transportation of silt and floating materials in Visakhapatnam port for a period of two years.] [IENG/CP/SE(Env)/T/36 ,dt.17.08.2023] [2023_VPT_164758_1]",Visakhapatnam Port Trust||Civil Engineering - VPT,,,two years .
1452.0,23-Aug-2023 06:00 PM,20-Sep-2023 02:00 PM,21-Sep-2023 02:00 PM,[DC/B378-000-YS-MR-1750/235] [DC/B378-000-YS-MR-1750/235] [2023_GAIL_165419_1],GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||ENGINEERS INDIA LIMITED-PMC,['INDIA'],DC,
1453.0,28-Aug-2023 09:00 AM,20-Sep-2023 02:00 PM,21-Sep-2023 03:00 PM,[Supply of Office and Computer Stationary Materials in MOTIHARI OA] [GC-1057/Stationary/MTH/2023-24] [2023_BSNL_165864_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Muzaffarpur,,Supply,MOTIHARI OA
1454.0,21-Aug-2023 10:30 AM,20-Sep-2023 02:00 PM,21-Sep-2023 02:30 PM,"[Supply, Installation, commissioning and demonstration of Automated Glycemic Index Analyser.] [CFTRI/52341/2023] [2023_CSIR_165023_1]",Council of Scientific and Industrial Research||CFTRI-Mysore - CSIR||Purchase-CFTRI - CSIR,,Installation,Automated Glycemic Index Analyser .
1455.0,31-Aug-2023 10:00 AM,20-Sep-2023 02:00 PM,21-Sep-2023 02:00 PM,[GMBA/PRG/Plg./Tender/ O and M rural BTS/23-24 Dt 30082023] [GMBA/PRG/Plg./Tender/ O and M bts/23-24 Dt30082023] [2023_BSNL_166191_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Allahabad,,PRG,
1456.0,21-Aug-2023 10:30 AM,20-Sep-2023 02:00 PM,21-Sep-2023 02:30 PM,[Supply Installation commissioning and demonstration of FT NIR spectrometer for reflection measurement ] [CFTRI/52340/23-24] [2023_CSIR_165046_1],Council of Scientific and Industrial Research||CFTRI-Mysore - CSIR||Purchase-CFTRI - CSIR,,NIR,reflection measurement
1457.0,28-Aug-2023 06:50 PM,20-Sep-2023 02:00 PM,21-Sep-2023 03:00 PM,[HIRING OF AGENCY FOR LAYING OF UNDERGROUND PE PIPELINES WORKS AND PROVIDING LMC FROM EXISTING CHARGED PE PIPELINES FOR EXISTING INFRASTRUCTURE OF DPNG CONNECTIONS FOR CGD PROJECTS Ms GAIL Gas Limited] [05/51/23VS-VU-VV/GAIL Gas/001-ii-02] [2023_GAILG_165393_1],GAIL Gas Limited||EPMC - GAIL Gas Ltd. Noida||Contract and Procurement - EPMC Noida,,,CGD PROJECTS Ms GAIL Gas Limited
1458.0,08-Sep-2023 05:30 PM,20-Sep-2023 02:00 PM,21-Sep-2023 02:30 PM,[AMC FOR HIGH PRESSURE HOMOGENIZER] [CFTRI/80156/23-24] [2023_CSIR_167054_1],Council of Scientific and Industrial Research||CFTRI-Mysore - CSIR||Purchase-CFTRI - CSIR,,AMC,HIGH PRESSURE
1459.0,05-Sep-2023 11:00 AM,20-Sep-2023 02:00 PM,21-Sep-2023 02:30 PM,[Servicing and maintenance of Bio-Gas plant at Canteen in MK plant] [IREL.MK/ET/31/2023] [2023_IREL_166647_1],IREL (INDIA) Limited||Corporate Office Mumbai - IREL,['INDIA'],Bio,
1460.0,05-Sep-2023 10:00 AM,20-Sep-2023 02:00 PM,21-Sep-2023 02:00 PM,[Optical Fiber Cable fault restoration works under the provision of contingency of Bhartnet Phase-II OFC networks in Sant Kabir Nagar OA under Gorakhpur BA] [GMTGR-BNetPhII-SKN-Mtce_23-24] [2023_BSNL_156963_2],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Gorakhpur,,Optical,Sant Kabir Nagar OA under Gorakhpur BA
1461.0,05-Sep-2023 12:00 PM,20-Sep-2023 02:30 PM,21-Sep-2023 03:00 PM,[supply of LED Street Light Fittings] [TCF/MM/4028/22] [2023_CCI_166661_1],Cement Corporation of India Limted||Tandur Cement Factory - CCI,['INDIA'],,LED Street Light Fittings
1462.0,05-Sep-2023 10:00 AM,20-Sep-2023 02:30 PM,21-Sep-2023 03:00 PM,[Supply of Feed Valve and Outlet Valve for RU-12 Packer Machine] [TCF/MM/3095/23] [2023_CCI_166642_1],Cement Corporation of India Limted||Tandur Cement Factory - CCI,['INDIA'],,RU-12 Packer Machine
1463.0,31-Aug-2023 06:55 PM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,"[Licence for Wellness Store at Domestic Security Hold Area (DSHA), New Integrated Terminal Building, Goa International Airport, Dabolim.] [AAI/COMML/GOA/WS/2023] [2023_AAI_166231_1]",Airports Authority of India||Western Region - AAI||INDORE - AAI||COMMERCIAL-VAID - AAI,['INDIA'],New,"Domestic Security Hold Area ( DSHA ) ,"
1464.0,31-Aug-2023 06:55 PM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,"[Licence for Fragrance Outlet at Domestic Security Hold Area (DSHA), New Integrated Terminal Building, Goa International Airport, Dabolim.] [AAI/COMML/GOA/FO/2023] [2023_AAI_166226_1]",Airports Authority of India||Western Region - AAI||INDORE - AAI||COMMERCIAL-VAID - AAI,['INDIA'],New,"Domestic Security Hold Area ( DSHA ) ,"
1465.0,08-Sep-2023 09:00 AM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,[eTender for supply of spare parts for Sartorius Water Purification System] [4/7(18)2023-Pur.] [2023_CSIR_167020_1],Council of Scientific and Industrial Research||IHBT-Palampur - CSIR||Purchase -IHBT - CSIR,['IHBT'],Sartorius,
1466.0,08-Sep-2023 09:00 AM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,[eTender for supply of UPLC Actuator without Checkwalve] [4/7(21)2023-Pur.] [2023_CSIR_167024_1],Council of Scientific and Industrial Research||IHBT-Palampur - CSIR||Purchase -IHBT - CSIR,['IHBT'],UPLC,
1467.0,29-Aug-2023 05:00 PM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,[RETROFIT AND UPGRADATION OF WALDRICH COBURG DOUBLE COLUMN PLANO MILLER MACHINE ] [73010/OFMK/EOM/GTE/RR/2-00013] [2023_AVNL_165191_1],Armoured Vehicles Nigam Limited||Ordnance Factory Medak-Yeddumailaram,,RETROFIT,WALDRICH COBURG DOUBLE COLUMN PLANO MILLER MACHINE
1468.0,08-Sep-2023 09:00 AM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,[eTender for Annual Maintenance Contract for CHNS Analyser] [4/6(10)2023-Pur.] [2023_CSIR_167014_1],Council of Scientific and Industrial Research||IHBT-Palampur - CSIR||Purchase -IHBT - CSIR,['IHBT'],,CHNS Analyser
1469.0,30-Aug-2023 12:00 PM,20-Sep-2023 03:00 PM,21-Sep-2023 03:30 PM,"[Lifting, Shifting and Pulling of HT/LT motors/ panels breakers for maintenance/replacement situated in different sections of Namrup-III group of plants for one year] [CE/E/F/39/2023/1008] [2023_BVFCL_166084_1]",Brahmaputra Valley Fertilizer Corporation Limited||Electrical - BVFCL,,,one year
1470.0,30-Aug-2023 06:55 PM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,[Outsourcing of Maintenance and Operations of Customer Service Centers (CSCs) in KOLHAPUR BA] [E-Tender/OCSC/KLP BA/2023-24/192] [2023_BSNL_166146_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Maharashtra Telecom Circle||GMTD, Kolhapur",,Maintenance,KOLHAPUR BA
1471.0,24-Aug-2023 01:00 PM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,[BUNKER GRILLS] [100001046] [2023_APCPL_165509_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,,,
1472.0,29-Aug-2023 05:00 PM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,[RETROFIT AND UPGRADATION OF WALDRICH COBURG DOUBLE COLUMN PLANO MILLER MACHINE ] [73010/OFMK/EOM/GTE/RR/2-00013] [2023_AVNL_165191_1],Armoured Vehicles Nigam Limited||Ordnance Factory Medak-Yeddumailaram,,RETROFIT,WALDRICH COBURG DOUBLE COLUMN PLANO MILLER MACHINE
1473.0,06-Sep-2023 05:00 PM,20-Sep-2023 03:00 PM,21-Sep-2023 04:00 PM,"[Repair works for Khal Bridge ( Bldg. No.- 42) at MSF, Ishapore .] [MSF/08/2022-23/CO] [2023_YIL_166893_1]",Yantra India Limited||METAL AND STEEL FACTORY - 24 PARGANAS,,MSF,
1474.0,18-Aug-2023 05:00 PM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,[OFC Rehabilitation work in Sultanpur Division] [DGMTP-LW/SUL Div. Patch Work/T-06/2023-24 ] [2023_BSNL_164880_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||Sr.GM (M) Lucknow,,OFC,
1475.0,07-Sep-2023 11:55 AM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,[FPGA RFSoC Evaluation board] [EE/BIJO/013/2023/FPGARFSOC] [2023_IITM_166975_1],Indian Institute of Technology Madras||Project Purchase - IITM,,FPGA,
1476.0,22-Aug-2023 09:00 AM,20-Sep-2023 03:00 PM,21-Sep-2023 03:30 PM,[Operation Maintenance of Cat I and other additional CAT II CAT IIIB AGL systems at NSCBI Airport Kolkata] [AAC/EMD-II/NIT/2023-25/CAT-I] [2023_AAI_159442_1],Airports Authority of India||Eastern Region - AAI||KOLKATA AIRPORT - AAI||ENGG ELECT-VECC - AAI,['INDIA'],CAT,NSCBI Airport Kolkata
1477.0,08-Sep-2023 09:00 AM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,"[eTender for supply of spare parts like Solenoid Valve, Rocker Switch Tubing etc Biorad Make] [4/7(20)2023-Pur.] [2023_CSIR_166997_1]",Council of Scientific and Industrial Research||IHBT-Palampur - CSIR||Purchase -IHBT - CSIR,['IHBT'],,"spare parts like Solenoid Valve , Rocker Switch Tubing etc Biorad Make"
1478.0,30-Aug-2023 12:00 PM,20-Sep-2023 03:00 PM,21-Sep-2023 03:30 PM,"[Lifting, Shifting and Pulling of HT/LT motors/ panels breakers for maintenance/replacement situated in different sections of Namrup-III group of plants for one year] [CE/E/F/39/2023/1008] [2023_BVFCL_166084_1]",Brahmaputra Valley Fertilizer Corporation Limited||Electrical - BVFCL,,,one year
1479.0,08-Sep-2023 09:00 AM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,[eTender for supply of Starter kit vario micro cube for CHNS Analyser] [4/7(23)2023-Pur.] [2023_CSIR_167011_1],Council of Scientific and Industrial Research||IHBT-Palampur - CSIR||Purchase -IHBT - CSIR,['IHBT'],Starter,CHNS Analyser
1480.0,31-Aug-2023 06:55 PM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,"[Licence for Fragrance Outlet at Domestic Security Hold Area (DSHA), New Integrated Terminal Building, Goa International Airport, Dabolim.] [AAI/COMML/GOA/FO/2023] [2023_AAI_166226_1]",Airports Authority of India||Western Region - AAI||INDORE - AAI||COMMERCIAL-VAID - AAI,['INDIA'],New,"Domestic Security Hold Area ( DSHA ) ,"
1481.0,08-Sep-2023 09:00 AM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,"[eTender for supply of spare parts like Solenoid Valve, Rocker Switch Tubing etc Biorad Make] [4/7(20)2023-Pur.] [2023_CSIR_166997_1]",Council of Scientific and Industrial Research||IHBT-Palampur - CSIR||Purchase -IHBT - CSIR,['IHBT'],,"spare parts like Solenoid Valve , Rocker Switch Tubing etc Biorad Make"
1482.0,30-Aug-2023 12:00 PM,20-Sep-2023 03:00 PM,21-Sep-2023 03:30 PM,"[Lifting, Shifting and Pulling of HT/LT motors/ panels breakers for maintenance/replacement situated in different sections of Namrup-III group of plants for one year] [CE/E/F/39/2023/1008] [2023_BVFCL_166084_1]",Brahmaputra Valley Fertilizer Corporation Limited||Electrical - BVFCL,,,one year
1483.0,31-Aug-2023 03:00 PM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,"[SUPPLY, INSTALLATION, COMMISSIONING AND TRAINING OF SCRATCH TESTER MACHINE] [PUR/130/MPML/RK/E/2023-24] [2023_CSIR_163739_1]",Council of Scientific and Industrial Research||CMERI-Durgapur - CSIR||Purchase-CMERI - CSIR,,INSTALLATION,SCRATCH TESTER MACHINE
1484.0,30-Aug-2023 05:45 PM,20-Sep-2023 04:00 PM,22-Sep-2023 04:00 PM,"[Operation and Comprehensive Maintenance of EMS at TE Bldg Bhujauti and CAMC of T. E. Bldg C-DOT Sahadatpura, Ghosi, Mohammadabad, Madhuban and Kopaganj under SSA Mau. (SH Removal of initial defects of CAMC sites taken from Department) (3rd Call)] [07/NIT/BED/VNS/2022-23] [2023_BSNL_166183_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Varanasi,,EMS,
1485.0,30-Aug-2023 05:15 PM,20-Sep-2023 04:00 PM,22-Sep-2023 04:00 PM,"[Operation andComprehensive Maintenance of EMS at TE BldgPeernagarand CAMC of EMS at TEBldg Saidpur, Birno Dullahpur Dildar Nagar Rauza, Mohammadabad and Zamania under GZP(SH Removal of initial defects of CAMC sites taken from Department) (2nd Call)] [06/NIT/BED/VNS/2023-24] [2023_BSNL_166163_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Varanasi,,EMS,
1486.0,23-Aug-2023 04:45 PM,20-Sep-2023 04:30 PM,22-Sep-2023 11:00 AM,"[Repair, Renovation and Restoration Work of Boundary walls at Kalyaneswari Sub-Station and Maithon Hydel Switchyard under GOMD II, DVC.] [DVC/Tender/Head Quarter/T AND D/CMM/00035] [2023_DVC_165448_1]",Damodar Valley Corporation||Maithon - DVC||C and M,,Kalyaneswari,
1487.0,30-Aug-2023 01:00 PM,20-Sep-2023 05:00 PM,21-Sep-2023 05:30 PM,[Expression of Interest for Empanelment of Manpower] [RITES/CO/HR/MPA/2023/01] [2023_RITES_166086_1],RITES Ltd.||ROC 1 (Sector 29 Gurugram) - RITES||Personnel - RITES,['ROC'],Expression,
1488.0,05-Sep-2023 05:00 PM,20-Sep-2023 05:00 PM,23-Sep-2023 12:30 PM,[PERCENTAGE RATE CONTRACT FOR INCIDENTAL PERIODICAL SERVICES CONTRACT AND ALLIED WORKS PERTAINING TO MTPF QUARTERS AT ORD. ESTATE AMBERNATH AS PER ITEMS PERTAINING TO PERIODICAL SERVICES UNDER MES SSR 2020] [0503/PRCEST/01/2023-24/EO/MPF] [2023_AVNL_166546_1],Armoured Vehicles Nigam Limited||Machine Tool Prototype Factory - Ambernath,,ALLIED,PERIODICAL SERVICES UNDER
1489.0,06-Sep-2023 05:20 PM,20-Sep-2023 05:00 PM,21-Sep-2023 05:00 PM,[PERCENTAGE RATE CONTRACT FOR INSIDE FACTORY AT CFA] [TE/CFA/06/EO/CIVIL] [2023_MIL_166867_1],Munitions India Limited||Cordite Factory Aruvankadu Aruvankadu Tamil Nadu,,CFA,
1490.0,30-Aug-2023 05:30 PM,20-Sep-2023 06:00 PM,22-Sep-2023 11:00 AM,"[A/R and M/O Civil works at Chennai Airport during 2023-24, SH Clearing bushes and Grass cutting at WT Station Mugalivakkam, MSSR in Porur and DVOR in Kancheepuram.] [AAI/SR/CH/Engg(C)/Grass cutting/2023-24] [2023_AAI_166117_1]",Airports Authority of India||Southern Region - AAI||RHQ-SR - AAI||ENGG CIVIL-SR - AAI,,SH,
1491.0,30-Aug-2023 06:00 PM,20-Sep-2023 06:00 PM,22-Sep-2023 11:00 AM,[All Inclusive Comprehensive Maintenance Contract and Operation of BHS in Terminal Building at Trichy International Airport for the Year 2023-24] [AAI/TRY/ENGG(E)/ARMO-26/23-24] [2023_AAI_166092_1],Airports Authority of India||Southern Region - AAI||TRICHY - AAI||ENGG ELECT-VOTR - AAI,,Operation,the Year 2023 - 24
1492.0,30-Aug-2023 05:30 PM,20-Sep-2023 06:00 PM,22-Sep-2023 11:00 AM,"[A/R and M/O Civil works at Chennai Airport during 2023-24, SH Clearing bushes and Grass cutting at WT Station Mugalivakkam, MSSR in Porur and DVOR in Kancheepuram.] [AAI/SR/CH/Engg(C)/Grass cutting/2023-24] [2023_AAI_166117_1]",Airports Authority of India||Southern Region - AAI||RHQ-SR - AAI||ENGG CIVIL-SR - AAI,,SH,
1493.0,06-Sep-2023 06:00 PM,20-Sep-2023 06:00 PM,25-Sep-2023 11:00 AM,[T C for civil works at Bungalow area in OEF Estate Kanpur] [CW/TE/E-proc/05/OEF/EO/2023-24] [2023_TCL_166530_1],TROOP COMFORTS LIMITED||Ordnance Equipment Factory - Kanpur UP,,,OEF Estate Kanpur
1494.0,08-Sep-2023 06:00 PM,20-Sep-2023 06:00 PM,22-Sep-2023 11:00 AM,[Provision of Interleaving Circuit for Approach light and allied electrical works at JPNI Airport Patna] [AAI/ER/PAT/AGM(E-E)/GLF Work/e-NIT-11/23-24] [2023_AAI_167115_1],Airports Authority of India||Western Region - AAI||GONDIA - AAI||ENGG ELECT-VAGD - AAI,['INDIA'],Provision,JPNI Airport Patna
1495.0,09-Sep-2023 02:30 PM,20-Sep-2023 06:00 PM,22-Sep-2023 03:30 PM,[anr te water proofing treat] [11/BSNL/CD/FBR/CHN/2023-2024] [2023_BSNL_167175_2],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||BSNL Chennai Telephones District||SE Civil,,,
1496.0,16-Aug-2023 02:00 PM,20-Sep-2023 06:00 PM,22-Sep-2023 06:00 PM,[De Nitration Plant] [TE/01/RR/EO/2023-24/OFI] [2023_MIL_164398_1],Munitions India Limited||Ordnance Factory Itarsi Itarsi Madhya Pradesh,,De,
1497.0,28-Aug-2023 06:30 PM,20-Sep-2023 06:00 PM,22-Sep-2023 12:00 PM,[Installation and Dismantling of Battery Banks in BSNL Dumka OA under Dhanbad BA] [GMBA/DNB/BB Installation Dismantling/DMK OA/09] [2023_BSNL_165973_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jharkhand Telecom Circle||GMTD, Dhanbad",,Dhanbad,BSNL Dumka OA under
1498.0,30-Aug-2023 06:50 PM,20-Sep-2023 06:00 PM,22-Sep-2023 11:00 AM,"[Upkeep of AAI Hostel, Community Hall, ASTI Building and Officers Institute at AAI Residential colony Guwahati (2023-24) (RECALL)] [AAI/RHQ/NER/ENGGC/Upkeep Hostel/GHY/23-24] [2023_AAI_166159_1]",Airports Authority of India||North East Region - AAI||RHQ-NER - AAI||ENGG CIVIL-NER - AAI,['INDIA'],AAI,AAI Residential colony Guwahati ( 2023 - 24 ) ( RECALL )
1499.0,22-Aug-2023 01:00 PM,21-Sep-2023 09:00 AM,22-Sep-2023 09:00 AM,[Repairing and painting of Children park at Colony complex NEEPCO ltd R C Nagar Tripura W] [10/CNP/AgGBPS] [2023_NEEPC_165232_1],North Eastern Electric Power Corporation Limited||Agartala Gas Turbine Combined Cycle Power Plant-Tripura - NEEPCO||Contract and Procurement-AGTCCPP - NEEPCO,,Colony,
1500.0,08-Sep-2023 05:15 PM,21-Sep-2023 10:00 AM,22-Sep-2023 10:30 AM,[Procurement of Bowl Assembly for Recovery Water Pump] [KTPS/OEM/WPIL] [2023_DVC_166845_1],Damodar Valley Corporation||KTPS Koderma - DVC||C and M,,,Recovery Water Pump
1501.0,10-Aug-2023 06:00 PM,21-Sep-2023 10:00 AM,22-Sep-2023 11:00 AM,[Dual Ram Actuator for secondary flight control system for SARAS Mk II Aircraft] [NAL/PUR/CAD/001/23(S)] [2023_CSIR_164040_1],Council of Scientific and Industrial Research||NAL Bengaluru - CSIR||Purchase-NAL - CSIR,,Dual,SARAS Mk II Aircraft
1502.0,08-Sep-2023 05:15 PM,21-Sep-2023 10:00 AM,22-Sep-2023 10:30 AM,[Procurement of Bowl Assembly for Recovery Water Pump] [KTPS/OEM/WPIL] [2023_DVC_166845_1],Damodar Valley Corporation||KTPS Koderma - DVC||C and M,,,Recovery Water Pump
1503.0,18-Oct-2022 03:00 PM,21-Sep-2023 11:00 AM,22-Sep-2023 11:30 AM,[Construction of new 6-lane Capital Region Ring Road (CRRR) from Gobindpur near Kuspangi (NH-42) to Tangi near Bandalo Toll Palza (NH-16) (Km.70.540 to Km. 110.870) on Hybrid Annuity Mode in the State of Odisha] [NHAI/OD/ CRRR/GT/2021/efile-99239] [2022_NHAI_132548_1],National Highways Authority of India||Head Office - NHAI,,Capital,Odisha
1504.0,23-Jun-2023 06:05 PM,21-Sep-2023 11:00 AM,22-Sep-2023 11:30 AM,[Kota Bypass and Cable stay bridge on NH-76 in the State of Rajasthan and Gwalior-Jhansi section from km 0.000 to km 103.000 (revised section Km.16.000 to Km.98.455) of NH-75 (New NH-44) in the State of Madhya Pradesh and Uttar Pradesh] [NHAI/Finance/TOT/2023-24/ Bundle-13-14/E-206168] [2023_NHAI_158686_1],National Highways Authority of India||Head Office - NHAI||Administration - NHAI,,NH-75,
