Tender,Company,Procurement,Notice,Location,Closing,Value,Date,Tender_Url
Framework for the Supply of Cameras and Associated Equipment for Traffic Monitoring,Durham County Council,  Opportunity,  Open,  England,"  13 October 2022, 12pm","Contract value £250,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/8ed1fbfe-303d-489d-807e-703c37cbdafa?origin=SearchResults&p=14
Provision of Manned Guarding Services,Essex Partnership University NHS Foundation Trust,  Opportunity,  Open,  East of England,"  14 October 2022, 12pm","Contract value £5,000,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/fae9b2b8-cdb6-4d07-b5c3-f62318ece20d?origin=SearchResults&p=14
Title: Construction Leadership and Management Direct Delivery,Construction Industry Training Board,  Opportunity,  Open,  Scotland,"  24 October 2022, 12am","Contract value £10,500,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/172b8054-ab1f-41ae-b830-586340d1a0ad?origin=SearchResults&p=14
Condover Parish Council BMX  Pump Cycle Track,Condover Parish Council,  Opportunity,  Open,  SY5 7AA,"  13 October 2022, 12pm","Contract value £30,000 to £48,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/f66064a5-cb88-4502-b0c0-bfa750004683?origin=SearchResults&p=14
STEP Transition Partner,United Kingdom Atomic Energy Authority,  Opportunity,  Open,  Any region,"  20 October 2022, 12pm",Contract value £0,  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/450af01e-0f61-4f89-9055-9848e4157fc0?origin=SearchResults&p=14
King&apos;s Lynn Maintenance Compound,Highways England,  Opportunity,  Open,  East of England,"   3 October 2022, 12pm","Contract value £3,250,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/6c3534e9-d5d7-43d3-8880-04f29f94c409?origin=SearchResults&p=14
GB-London: Advancing local and central government collaboration in climate change adaptation,Local Government Association,  Opportunity,  Open,  London,"  26 September 2022,  5pm","Contract value £10,000 to £25,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/7483cc67-afee-4a16-a917-2d268c8fda70?origin=SearchResults&p=14
Water and Environment Worker (WEW) Apprenticeship training,Defra Network eTendering Portal,  Future opportunity,  Open,  SW1P 3JR,Approach to market date 13 October 2022,"Contract value £9,000,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/8390f236-8b4d-40d5-a10c-06da4b0dcba0?origin=SearchResults&p=14
New Farm Norton Tree Planting,Worcestershire County Council,  Opportunity,  Open,  WR5 2NP,"   7 October 2022,  5pm",Contract value £0,"  13 September 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/8bd94d86-4e33-4e32-8482-ef047f825b91?origin=SearchResults&p=14
GB-Swindon: UKRI-2422 Framework for Complex Investigation Services for UKRI Whistleblowing and Complaint Cases *Duplicated*,UK Research and Innovations,  Opportunity,  Open,  South West,"  23 September 2022,  2pm","Contract value £50,000 to £100,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/a78b1591-36d6-490c-a3a9-f92eff67e64c?origin=SearchResults&p=14
Provision of a Staffing Service for a Temporary Bed Unit,Blackpool Council,  Opportunity,  Open,  England,"  13 October 2022, 12pm","Contract value £647,500",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/8336c684-911f-4190-9f0f-b7cc9d504a3b?origin=SearchResults&p=14
Domestic Homicide Review Chairs Framework - HDG/2022/90,Stoke-on-Trent City Council,  Opportunity,  Open,  England,"  12 October 2022, 12pm","Contract value £200,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/8f7348b6-f6df-4407-b9ef-8ab4993a4bb9?origin=SearchResults&p=14
Domestic Homicide Review Chairs Framework - HDG/2022/90,Stoke-on-Trent City Council,  Opportunity,  Open,  England,"  12 October 2022, 12pm","Contract value £200,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/8f7348b6-f6df-4407-b9ef-8ab4993a4bb9?origin=SearchResults&p=15
Purchase of timber tree guard stakes (LIFE19NAT/UK/000147),Defra Network eTendering Portal,  Opportunity,  Open,  DE45 1GT,"  20 September 2022, 12pm","Contract value £30,000","  25 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/d2684710-5eab-4c9e-9659-8f02d4beacd3?origin=SearchResults&p=15
GB-Swindon: UKRI-2422 Framework for Complex Investigation Services for UKRI Whistleblowing and Complaint Cases,UK Research and Innovations,  Opportunity,  Open,  South West,"  20 September 2022,  2pm","Contract value £50,000 to £100,000","   6 September 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/6555dd26-bf42-4dca-8a15-43eb02be56f8?origin=SearchResults&p=15
Planting and Maintenance of Urban Highway and Greenspace Trees,Bath and North East Somerset Council,  Opportunity,  Open,  United Kingdom,"   5 October 2022, 12pm","Contract value £140,000","  13 September 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/7df6ce75-9dec-4209-9426-75fdd1d1f329?origin=SearchResults&p=15
616_23 Personal Safety and Security Equipment,Espo,  Opportunity,  Open,  United Kingdom,"  14 October 2022, 12pm","Contract value £780,000","  13 September 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/318ec05e-5360-4bff-88a0-08780cc72828?origin=SearchResults&p=15
236_23 Matting,Espo,  Opportunity,  Open,  United Kingdom,"  13 October 2022, 12pm","Contract value £2,600,000","  12 September 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/43fcbf62-98fe-4799-b5e3-5dcf6cc12a31?origin=SearchResults&p=15
Community Safety Case Management System,Torbay Council,  Opportunity,  Open,  England,"  13 October 2022, 12pm","Contract value £450,000 to £650,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/8c810ac0-1524-4477-8154-b3713ce9f7a8?origin=SearchResults&p=15
Provision of an Evaluation of Community Mental Health Framework Project,Oxford Health NHS Foundation Trust,  Opportunity,  Open,  South East,"   7 October 2022,  4pm","Contract value £65,800 to £82,500",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/e8c3b1fa-3c9d-42bd-93c9-76b9eda2c36b?origin=SearchResults&p=15
Pan-London food campaign creative strategy and delivery,London Waste & Recycling Board,  Opportunity,  Open,  London,"   5 October 2022,  5pm","Contract value £70,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/d1330b81-17bc-4573-ad92-9236da4ec95d?origin=SearchResults&p=15
Fire Alarm upgrade at Braintree Police Station,7 Forces Commercial Services,  Opportunity,  Open,  CM2 6DA,"  12 October 2022, 12pm","Contract value £120,000 to £150,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/35cd40a6-3014-4fd2-b7aa-52ae6af52ff8?origin=SearchResults&p=15
Provision of a Property IT System as a Service,East Hampshire District Council,  Opportunity,  Open,  England,"  21 October 2022, 12pm","Contract value £215,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/496aaf1d-e354-4aee-ba5c-d67fbae98ade?origin=SearchResults&p=15
"The Pan-Dorset (Bournemouth, Christchurch, Poole and Dorset) Integrated Equip for Living Service 2023",Bournemouth Christchurch and Poole Council,  Opportunity,  Open,  United Kingdom,"  27 September 2022,  2pm","Contract value £60,000,000 to £100,000,000","   1 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/9dd976f4-1382-40b8-8ca5-3d8555f25966?origin=SearchResults&p=15
The Paddock - Public Realm Improvement Works,Medway Council,  Opportunity,  Open,  England,"  17 October 2022, 12pm","Contract value £1,800,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/35a9b466-42ad-455a-b631-62df0b3762f9?origin=SearchResults&p=15
Report and Support Tool,LEEDS TRINITY UNIVERSITY,  Opportunity,  Open,  LS18 5HD,"  17 October 2022, 12pm",Contract value £0,  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/367ca639-ca30-4163-8f09-ba1004ceb130?origin=SearchResults&p=15
Research and Development of Dudley MBC Employer Value Proposition,Dudley Metropolitan Borough Council,  Opportunity,  Open,  DY1 1HF,"  30 September 2022, 12pm",Contract value £0,"  12 September 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/8e052347-4839-44f4-9df9-9862304e8994?origin=SearchResults&p=15
"Tender for Building Energy Management Systems, Design & Installation, Maintenance, Support & Reactive Repair 2023 - 2027 (BEMS)",Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B69 3DB,"  11 October 2022,  3pm","Contract value £480,000 to £600,000","   9 September 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/5b66917b-9122-4206-a6c9-15411b0a6448?origin=SearchResults&p=15
DIT/8728/2022 - 2nd phase of UK and Peru Bilateral Trade Review,Foreign Commonwealth and Development Office,  Opportunity,  Open,  Any region,"   5 October 2022, 11:59am","Contract value £30,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/3e59ddc6-4006-4e91-a776-06ab8254072c?origin=SearchResults&p=15
Provision of Physiotherapy Services,"Police, Fire &Crime Commissioner for Staffordshire",  Opportunity,  Open,  West Midlands,"  13 October 2022,  5pm","Contract value £0 to £304,761",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/5228e747-47de-444e-9777-0d807367e057?origin=SearchResults&p=15
"NEW PERIMETER FENCING AT MARSHWAY HOUSE, WAKEFIELD",Riverside,  Opportunity,  Open,  WF1 3LF,"   7 October 2022, 12pm","Contract value £120,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/9b873222-afd0-45b9-8410-4f0907e0d6b5?origin=SearchResults&p=15
CA11046 - Removal of Asbestos,West Suffolk NHS Foundation Trust,  Opportunity,  Open,  IP33 2QZ,"  21 September 2022,  5pm",Contract value £0,"   2 September 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/3313da65-4ccc-497c-a595-5f1a14283d18?origin=SearchResults&p=15
Expression of Interest for Norfolk and Waveney Integrated Care System (ICS) to commission short-term bed capacity within residential and nursing settings,NHS Arden and Greater East Midlands Commissioning Support Unit,  Opportunity,  Open,  East of England,"  22 September 2022,  4pm",Contract value £0,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/29fdc98a-dba4-4b50-a493-bc99e7d73558?origin=SearchResults&p=16
Modernisation of three passenger lifts within Maidstone House - MBC 1903,Maidstone Borough Council,  Opportunity,  Open,  South East,"   3 October 2022, 12pm",Contract value £0,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/daaff95b-d504-4038-8a46-0b555bc01e3a?origin=SearchResults&p=16
Provision of 10 Nursing beds and 12 nursing Elderly Mentally Infirm for 6 months to support stepdown during the Winter period,City of York Council,  Opportunity,  Open,  Yorkshire and the Humber,"  27 September 2022, 12pm",Contract value £0 to £480,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/f08c5ee6-a45b-4543-899a-dccef28d9e1d?origin=SearchResults&p=16
Standard Evaluation Framework Health and Wellbeing interventions in the natural environment,Natural England,  Opportunity,  Open,  England,"  26 September 2022, 12pm","Contract value £5,000 to £24,999",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/254f2e91-63c3-4485-a1c3-7d075f3804ac?origin=SearchResults&p=16
RFQ: Procurement of Diode Laser Systems,National Physical Laboratory,  Opportunity,  Open,  TW11 0LW,"   4 October 2022,  5pm",Contract value £0,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/72659753-a740-4f34-9219-67da15bc678a?origin=SearchResults&p=16
Dry Stone Walling,COMMONWEALTH WAR GRAVES COMMISSION,  Opportunity,  Open,  SN6 8SW,"   4 November 2022, 12pm",Contract value £0,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/65545b85-b84f-4c0c-a156-29156274c718?origin=SearchResults&p=16
DEVICE AS A SERVICE - LAPTOP SUPPLY,Coventry University,  Opportunity,  Open,  CV1 5FB,"  11 October 2022, 12pm",Contract value £0 to £1,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/a6ce5ed3-95ce-4aa7-95a7-53b159c0fabb?origin=SearchResults&p=16
Health Economics training,National Institute For Health And Care Excellence,  Opportunity,  Open,"  North East, London","   5 October 2022,  4pm","Contract value £25,000 to £30,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/e80ce10b-0eec-4049-8d70-ba698670a9d3?origin=SearchResults&p=16
Purchase of 20ft containers for Ramsgate Harbour,Thanet District Council,  Opportunity,  Open,  England,"   3 October 2022,  2pm","Contract value £55,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/d5e4212b-26b2-415f-90cd-076129abc3e2?origin=SearchResults&p=16
2022 - 0961 Replacement Balcony Decking - Birmingham,Citizen,  Opportunity,  Open,  B37 7YN,"   3 October 2022,  4pm","Contract value £0 to £80,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/b2d04c4e-663a-4e16-9370-9e7e55170c19?origin=SearchResults&p=16
South Cambridgeshire District Council - Greater Cambridge Green and Open Space Strategy,South Cambridgeshire District Council,  Opportunity,  Open,  Cb23 6EA,"  30 September 2022,  5pm",Contract value £0,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/b34af464-7d00-4d09-a900-bb16fcf14f1d?origin=SearchResults&p=16
Offsite Construction Solutions,Crown Commercial Service,  Opportunity,  Open,  United Kingdom,"   7 October 2022, 12:59pm","Contract value £10,000,000,000","  25 August 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/27a7d36d-2391-42c9-908a-a710b541ec45?origin=SearchResults&p=16
"Redevelopment/repurposing and leasing of a site in George Street, Oxford",Oxford City Council,  Opportunity,  Open,  OX1 1BX,"  12 October 2022,  5pm","Contract value £50,000,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/464a1adc-23a9-48fb-986e-bbb50cc4e123?origin=SearchResults&p=16
Business Hothouse Leadership and Management Development,THE UNIVERSITY OF CHICHESTER,  Opportunity,  Open,  South East,"  30 September 2022,  9am","Contract value £0.01 to £50,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/2d213068-188b-46c4-8949-e395a0e7f36b?origin=SearchResults&p=16
YPO - 001132 EARLY YEARS FURNITURE,YPO,  Opportunity,  Open,  United Kingdom,"  20 September 2022,  2pm","Contract value £16,000,000","  29 July 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/6324c6f0-70df-4d22-a24b-1308082cf79e?origin=SearchResults&p=16
SSD 22 09 Hard of Hearing Support Service,Derbyshire County Council,  Opportunity,  Open,  England,"  20 October 2022,  5pm","Contract value £635,390",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/15947580-52d7-4028-98df-d458cf297d67?origin=SearchResults&p=16
Consultancy Services for a Feasibility Study Relating to Knowsley Central School September 2020,Knowsley Council,  Opportunity,  Open,  England,"  10 October 2022,  9:30am","Contract value £60,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/342704cc-a3be-4cb6-8729-98727b52a8b4?origin=SearchResults&p=16
Provision of Sandwell Funeral Services and Coroners Transportation for the Black Country,Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B69 3DB,"  12 October 2022,  3pm","Contract value £520,000","  12 September 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/2e4254f5-654f-45a1-ae17-a6aafc74dda0?origin=SearchResults&p=16
Holiday Activities with Food Services (HAF) Open Framework,Oxfordshire County Council,  Opportunity,  Open,  United Kingdom,"  14 October 2022,  5pm","Contract value £5,600,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/98d3f5ba-6f3a-4bb2-9711-5617747622cb?origin=SearchResults&p=16
Council House Refurbishment - Form Collaboration room,Dudley Metropolitan Borough Council,  Opportunity,  Open,  DY1 1HF,"   7 October 2022, 12pm",Contract value £0,"  12 September 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/abd8b5ae-b741-49e5-ae3d-6bedfea84330?origin=SearchResults&p=16
Specialist Pharmacy Courier Services,Berkshire Healthcare NHS Foundation Trust,  Opportunity,  Open,  South East,"  28 September 2022, 10am","Contract value £100,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/17640dc1-a6a0-4b8a-8ab5-fcf97bab590e?origin=SearchResults&p=17
UHB Digital Dictation & Speech Recognition Solution - Market Engagement,University Hospitals Birmingham NHS Foundation Trust,  Early engagement,  Open,  West Midlands,  10 October 2022,"Publication date 12 September 2022, last edited 12 September 2022",None,https://www.contractsfinder.service.gov.uk/notice/ad4dc09a-67bb-421a-9a96-076fabe57948?origin=SearchResults&p=17
"GBC - Divider fencing to existing all weather courts at Sutherland Memorial Ground, Burpham",Guildford Borough Council,  Opportunity,  Open,  GU2 4BB,"   5 October 2022, 12pm",Contract value £0,"  12 September 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/7b688795-24cd-4a47-a5f0-0c92b9e4585c?origin=SearchResults&p=17
Homes England - Commercial Digital Solution (etendering),Homes England (the name adopted by the Homes and Communities Agency),  Early engagement,  Open,  England,  26 September 2022,Publication date 12 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/5a9adf7b-abda-4777-bc68-2429551b461d?origin=SearchResults&p=17
Public Access WiFi,East Riding of Yorkshire Council,  Opportunity,  Open,  HU17 9AB,"  13 October 2022, 12pm","Contract value £1,000,000 to £3,000,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/501a1eac-6951-403a-b5c6-3d8a4f1f15f3?origin=SearchResults&p=17
Fraud Prevention Course - City of London Police,City of London Corporation,  Opportunity,  Open,  Any region,"  26 September 2022,  5pm",Contract value £0,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/4d3b5450-1219-4e29-bb0e-b7eac690963d?origin=SearchResults&p=17
Tenable Nessus Manager RFQ,Worcestershire County Council,  Opportunity,  Open,  WR5 2NP,"  23 September 2022,  5pm","Contract value £0 to £5,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/a35d90c9-e097-4a97-9f68-9172dfcaf4db?origin=SearchResults&p=17
Fraud Prevention Course - City of London Police,City of London Corporation,  Opportunity,  Open,  Any region,"  26 September 2022,  5pm",Contract value £0,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/9941e05f-a626-4e8c-9238-ede7ff1e3a1a?origin=SearchResults&p=17
Africa Hub - Pretoria- A call for proposal to effectively connect UK funders to South African founders Ru,Foreign Commonwealth and Development Office,  Opportunity,  Open,  Any region,"   5 October 2022,  5pm",Contract value £0,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/b9ec10bc-76b8-4a41-b975-38ffaa1fe0ee?origin=SearchResults&p=17
Provision of Service Medals and associated items,Avon Fire & Rescue Service,  Opportunity,  Open,  BS20 8JJ,"   4 October 2022, 12pm","Contract value £0 to £36,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/4f6d0c7e-0b37-4db4-9ea0-407f61cbf00e?origin=SearchResults&p=17
"Contract for Exhibition Fit Out Works at ""The Story""",Durham County Council,  Opportunity,  Open,  England,"  25 October 2022, 12pm",Contract value £0,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/4fcda1ba-2c94-4cae-875a-5093b9f49be8?origin=SearchResults&p=17
Sharepoint Project,Beyond Housing,  Opportunity,  Open,  YO12 7BH,"  16 September 2022, 12pm",Contract value £0,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/5e9ae367-6fc2-456b-9b72-dcb1f85c9af2?origin=SearchResults&p=17
Opportunity for Compressed Air Systems Servicing and Inspections,DVSA - Driver and Vehicle Standards Agency,  Opportunity,  Open,  Any region,"  30 September 2022,  6pm","Contract value £96,584.60",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/0f4df47c-675d-4bd2-9b5f-98c84109d30c?origin=SearchResults&p=17
Glovebox system with integrated furnace for material corrosion studies,United Kingdom Atomic Energy Authority,  Opportunity,  Open,  OX14 3BD,"   4 October 2022, 12pm",Contract value £0,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/4c692605-ddd8-41b1-96d2-b2d20630e555?origin=SearchResults&p=17
PURCON 1048 Whole Genome Sequencing of 593 Bird DNA Samples,University of East Anglia,  Opportunity,  Open,  NR4 7TJ,"  29 September 2022, 12pm",Contract value £0,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/ca055bf1-1d82-4c09-a8cc-74eb367aa014?origin=SearchResults&p=17
GB-Middlesbrough: ERDF - Grow Tees Valley Internationalisation Programme,Teesside University,  Opportunity,  Open,  North East,"   4 October 2022, 12pm","Contract value £50,000 to £100,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/534d27ad-e90b-43b1-96e1-5796cd74ba55?origin=SearchResults&p=17
The supply of a Cardiology Image Vault Solution,Guy's and St Thomas' NHS Foundation Trust,  Opportunity,  Open,  SE1 9RT,"  14 October 2022, 12pm","Contract value £200,000 to £300,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/3e621792-2236-42be-a558-a226e7043162?origin=SearchResults&p=17
Wheelchair & Postural Services - Hull & East Riding of Yorkshire,NHS HULL CLINICAL COMMISSIONING GROUP,  Opportunity,  Open,  Yorkshire and the Humber,"  27 September 2022,  1pm","Contract value £1 to £10,000,000","  16 August 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/0c085729-c120-4214-8bc7-f96d7ae5f1ed?origin=SearchResults&p=17
Provision of Insurance and related services to Midland Heart,Midland Heart,  Opportunity,  Open,  Any region,"  15 September 2022,  5pm","Contract value £5,500,000","  16 August 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/4d2ce1cd-79db-4d06-80e0-91daa59c805c?origin=SearchResults&p=17
1400 metre of stock fencing on dune grassland,Natural England,  Opportunity,  Open,  East Midlands,"  18 September 2022, 12pm","Contract value £10,000 to £24,999","  31 August 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/6674c6ea-0841-4862-b04b-98f98c1fa186?origin=SearchResults&p=17
Camden Mental Health and Substance Misuse Employment Support Services,London Borough of Camden,  Opportunity,  Open,  United Kingdom,"  30 September 2022, 11:59pm","Contract value £1,497,082","  18 August 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/f666e8be-d0b7-4ee1-963c-5cc13074efed?origin=SearchResults&p=18
Customer Service Training Programme,Warwickshire Police,  Opportunity,  Open,  West Midlands,"  26 September 2022, 12pm",Contract value £0,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/dea0bcee-855e-4d64-a1dd-746fcd1d48d8?origin=SearchResults&p=18
"Servicing & Repair of Automatic Doors, Pedestrian & Car Park Barriers (Lot 1) & Servicing & Repair of Roller Shutters (Lot 2)",Sheffield City Council,  Opportunity,  Open,  Yorkshire and the Humber,"  10 October 2022,  4pm","Contract value £0 to £470,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/36c382e2-8df7-4665-91e1-476bd467a292?origin=SearchResults&p=18
Treasury Management Advisory Services,gloucestershire cc,  Opportunity,  Open,  United Kingdom,"  10 October 2022, 12pm","Contract value £126,500",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/4346f27b-8506-494e-a877-c0815f7e5ef6?origin=SearchResults&p=18
INVITATION TO TENDER FOR PROVISION OF MARKETING SERVICES,Croydon College,  Opportunity,  Open,  CR9 1DX,"  30 September 2022,  5pm","Contract value £70,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/38fc4ccb-7b7b-4910-863e-93b874895aa2?origin=SearchResults&p=18
"Provision of Supply and Installation of Multi-Split and Split ACs in British Embassy, Kathmandu",Foreign Commonwealth and Development Office,  Opportunity,  Open,  Any region,"  27 September 2022,  5pm","Contract value £29,067",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/438f6335-2a4e-4c14-b0cc-a210af2fdbf3?origin=SearchResults&p=18
Sports Kit and Leisurewear,Manchester Metropolitan University,  Opportunity,  Open,  M15 6BH,"  12 October 2022, 12pm",Contract value £0,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/1ee484c6-5619-4ddd-b81d-7df2c736ac2a?origin=SearchResults&p=18
Summer of Culture Programme 2022,London Borough of Hounslow,  Opportunity,  Open,  England,"  26 September 2022,  1pm","Contract value £15,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/a09aa4b7-2307-49a6-9363-d910794d1548?origin=SearchResults&p=18
HSE RFQ - ATEX-rated Borescope,Health & Safety Executive,  Opportunity,  Open,  SK17 9JN,"  29 September 2022,  1pm","Contract value £1,000 to £15,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/7979b8ef-769f-4ef3-9623-a917656cc67d?origin=SearchResults&p=18
DEVELOPMENT OF EXPERIMENTAL METHODOLOGIES FOR THE MEASUREMENT,Radioactive Waste Management Ltd,  Opportunity,  Open,"  East Midlands, East of England, London, North East, North West, Scotland, South East, South West, Wales, West Midlands, Yorkshire and the Humber, Northern Ireland","  20 October 2022, 12pm","Contract value £100,000 to £2,000,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/bdbb984d-a86e-4c4a-8a65-5046ddfb1981?origin=SearchResults&p=18
North Road - Block Paved Verge Hardstanding,EU SUPPLY LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  20 September 2022, 12pm","Contract value £40,000 to £45,000","   5 September 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/839490d0-b920-4dd5-be41-3280869923f0?origin=SearchResults&p=18
"(NU/1796) The Supply, Installation and Maintenance of a Rack Washer",Newcastle University,  Opportunity,  Open,  England,"  19 October 2022, 12pm","Contract value £200,000 to £230,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/fb5a4766-a9bb-42bd-ad24-e97f677dfe0c?origin=SearchResults&p=18
PAN2578 - Waste disposal and tipping,Leicester City Council,  Opportunity,  Open,  England,"  21 September 2022, 12pm","Contract value £4,000,000 to £4,500,000","  15 August 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/006ac030-ba52-4c87-a5fa-62b8355a9eee?origin=SearchResults&p=18
Supply of Fresh Milk & Bread,Southport & Ormskirk Hospital,  Opportunity,  Open,  PR8 6PN,"  26 October 2022, 12pm",Contract value £0,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/990c70ba-85c1-4f09-87f2-12a71575068b?origin=SearchResults&p=18
Belsay Awakes: Interpretation scheme fit out,English Heritage- Interpretation,  Opportunity,  Open,  EC2V 7AN,"  21 October 2022, 12pm","Contract value £108,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/a6a38d78-a3a2-4fa8-afff-8d6b1e45955c?origin=SearchResults&p=18
Victory Road Recreational Grounds - Skate Park Redevelopment,Leiston Town Council,  Opportunity,  Open,  IP164ER,"  22 September 2022, 12pm","Contract value £100,000 to £140,000","   8 August 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/5e1201ed-ea2a-4c0b-936c-7286080e7ba1?origin=SearchResults&p=18
"Specialist Highway Patching Works (Barrow, Eden and South Lakeland District Areas) 2022-2024",Cumbria County Council,  Opportunity,  Open,  England,"   5 October 2022, 12pm","Contract value £2,000,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/b72c0ada-1cb5-404e-ae65-5e18dc722275?origin=SearchResults&p=18
"Specialist Highway Patching Works (Carlisle, Allerdale and Copeland District Areas) 2022-2024",Cumbria County Council,  Opportunity,  Open,  England,"   5 October 2022, 12pm","Contract value £2,000,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/9b9fbe9d-2f5c-4992-8ea0-be64ae227c14?origin=SearchResults&p=18
Saltmill Park Saltash - Supply & Installation of Play Equipment,Corserv Limited,  Opportunity,  Open,  England,"   3 October 2022,  2pm","Contract value £30,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/a99dd6da-4348-4d36-bd7b-bf5a3f753196?origin=SearchResults&p=18
