doc_id,notice_status,cpv_code,country_iso,town_iso,project_name,title,notice_publication_number,publication_date,oj_s__issue_number,town_city_of_the_buyer,Official name of the buyer,original_language,country_of_the_buyer,type_of_buyer,eu_institution_agency,document_sent,type_of_contract,type_of_procedure,notice_type,regulation,type_of_bid,award_criteria,common_procurement_vocabulary_(cpv),place_of_performance_(nuts),internet_address_(url),legal_basis,deadline_date,latitude,longitude,document_id_1,publication_date_1,deadline_1,document_1,authority_Name_1,document_id_2,publication_date_2,deadline_2,document_2,authority_Name_2,document_id_3,publication_date_3,deadline_3,description,postal_code,email,amount,currency,og_notice_no,document_3,authority_Name_3,document_id_4,publication_date_4,deadline_4,document_4,authority_Name_4,document_id_5,publication_date_5,deadline_5,country_alpha,country_mfn,currency_code,converted_amount_usd
450508-2021,Active,,United Kingdom,Huddersfield,Education and training services,United Kingdom-Huddersfield: Education and training services,450508-2021,06/09/2021,172,HUDDERSFIELD,The Council of the Borough of Kirklees,EN,UK,3 - Regional or local authority,-,01/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,80000000 - Education and training services,UKE44,http://www.kirklees.gov.uk,Public procurement Directive 2014/24/EU,nan,53.6466645,-1.7822482,496158-2017,13/12/2017,31/01/2022,Y - Dynamic purchasing system,The Council of the Borough of Kirklees,204290-2018,12/05/2018,nan,nan,nan,nan,nan,nan,"Adult & Community Learning is funded by the West Yorkshire Combined Authority through the Adult Education Budget.The main purpose of Adult & Community Learning funded provision is to reach disadvantaged communities and individuals, to enable them to develop new skills, participate in learning and to progress towards further learning and/or sustainable employment. Community Learning supports wider government policies on localism, social justice, stronger families, digital inclusion and social mobility.",HD1 2EY,Nadine.littlewood@kirklees.gov.uk,228000.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
450507-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),450507-2021,06/09/2021,172,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,01/09/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
450506-2021,Active,,United Kingdom,Lincoln,"Sewage, refuse, cleaning and environmental services","United Kingdom-Lincoln: Sewage, refuse, cleaning and environmental services",450506-2021,06/09/2021,172,LINCOLN,Lincolnshire County Council,EN,UK,3 - Regional or local authority,-,01/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,"90000000 - Sewage, refuse, cleaning and environmental services",UKF3,https://www.lincolnshire.gov.uk,Public procurement Directive 2014/24/EU,nan,53.2336301,-0.5392172,96199-2017,15/03/2017,13/04/2017,Y - Dynamic purchasing system,Lincolnshire County Council,118706-2017,30/03/2017,13/04/2017,2 - Additional information,Lincolnshire County Council,385391-2018,04/09/2018,nan,To recieve and process materials from HWRCs within Lincolnshire.,LN1 1YL,peter.lee@lincolnshire.gov.uk,6807.04,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
450505-2021,Active,,United Kingdom,Ipswich,Supply services of office personnel,United Kingdom-Ipswich: Supply services of office personnel,450505-2021,06/09/2021,172,IPSWICH,Opus LGSS People Solutions Ltd,EN,UK,6 - Body governed by public law,-,01/09/2021,4 - Services,B - Competitive procedure with negotiation,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,79621000 - Supply services of office personnel,UKH14,http://www.opuspeoplesolutions.co.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,476479-2019,10/10/2019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Supply of temporary resource and option of assistance in permanent recruitment ,IP1 2BX,recruitment@opuspeoplesolutions.co.uk,13907706.03,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
450504-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),450504-2021,06/09/2021,172,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,01/09/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
450503-2021,Active,,United Kingdom,Anglesey,Highways engineering services,United Kingdom-Anglesey: Highways engineering services,450503-2021,06/09/2021,172,ANGLESEY,Isle of Anglesey County Council,EN,UK,3 - Regional or local authority,-,01/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,45233139 - Highway maintenance work71311220 - Highways engineering services45233220 - Surface work for roads,UKL11,www.anglesey.gov.uk,Public procurement Directive 2014/24/EU,nan,53.2782273,-4.33133929345189,517038-2019,31/10/2019,28/11/2019,3 - Contract notice,Isle of Anglesey County Council,450503-2021,06/09/2021,nan,nan,nan,nan,nan,nan,"The Isle of Anglesey County Council wish to set up a Pavement Maintenance Term Service Contract with a suitably experienced Highway Construction and Civil Engineering Contractor. The Contract shall be used to deliver the highway pavement maintenance service, other associated civil works and any other related works required by the Authority.",LL77 7TW,BarriJones2@ynysmon.gov.uk,962662,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
450502-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),450502-2021,06/09/2021,172,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,01/09/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
450501-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),450501-2021,06/09/2021,172,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,01/09/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
450500-2021,Active,,United Kingdom,Hartlepool,Computer-related services,United Kingdom-Hartlepool: Computer-related services,450500-2021,06/09/2021,172,HARTLEPOOL,Ad Astra Academy Trust,EN,UK,8 - Other,-,01/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,72600000 - Computer support and consultancy services72500000 - Computer-related services72590000 - Computer-related professional services,UKC11,http://www.adastraacademytrust.com/,Public procurement Directive 2014/24/EU,nan,54.6857276,-1.2093696,622759-2020,22/12/2020,22/01/2021,3 - Contract notice,Ad Astra Academy Trust,450500-2021,06/09/2021,nan,nan,nan,nan,nan,nan,"Ad Astra Academy Trust requires a Contractor to undertake the ICT Managed Service in accordance with good practice so as to provide a high service standard throughout the Trust schools for the benefit of school staff and pupils, the local community and any visitors to the site.   Service provision to include on-site and remote Helpdesk support.Complete information regarding the Service Requirement of the Trust can be found in the Statement of Requirements within the tender documentation.TUPE does not apply to this contract.",TS25 5TG,tenders@minervapcs.com,422138.42,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
450499-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),450499-2021,06/09/2021,172,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,01/09/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
450498-2021,Active,,United Kingdom,East Kilbride,Foreign economic-aid-related services,United Kingdom-East Kilbride: Foreign economic-aid-related services,450498-2021,06/09/2021,172,EAST KILBRIDE,"Foreign, Commonwealth and Development Office (1858644)",EN,UK,1 - Ministry or any other national or federal authority,-,01/09/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,75211200 - Foreign economic-aid-related services,UKM95,https://fcdo.proactisportal.com/Account/Login,Public procurement Directive 2014/24/EU,nan,55.760176,-4.179078,110180-2019,08/03/2019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"FCDO is procuring a service provider to manage and deliver the largest component of a new flagship basic education programme in Nigeria: The ambition for PLANE is to directly support improved learning for an estimated 1.5 million children in Kano, Kaduna and Jigawa states (KKJ) and support state and non-state systems benefitting 8,000,000 children nationally. The service provider will be expected to provide appropriate technical and other expertise, goods and materials to enable - delivery of more focused teaching and learning, better managed state and non state systems and use of evidence and effective communication to deliver improved performance in state and non-state systems.",G75 8EA,ross.mcgarry@fcdo.gov.uk,95000000,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
450496-2021,Active,,United Kingdom,Hackney,Garments,United Kingdom-Hackney: Garments,450496-2021,06/09/2021,172,HACKNEY,London Borough of Hackney (02453636),EN,UK,3 - Regional or local authority,-,01/09/2021,2 - Supplies,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"18300000 - Garments18100000 - Occupational clothing, special workwear and accessories19000000 - Leather and textile fabrics, plastic and rubber materials18800000 - Footwear",UK,http://www.hackney.gov.uk,Public procurement Directive 2014/24/EU,nan,51.5432402,-0.0493621,573849-2020,27/11/2020,04/01/2021,3 - Contract notice,London Borough of Hackney,450496-2021,06/09/2021,nan,nan,nan,nan,nan,nan,London borough of Hackney has a legal obligation under the Health and Safety at Work Act 1974 to ensure the safety of their employee - Regulation 4 of Personal Protection Equipment (PPE) at Work Regulation 1992 makes it clear that employers must provide suitable PPE for employers exposed to Health and Safety risks. Having staff in corporate uniform they are easily identifiable and gives confidence to the member of public and stakeholders.,E8 1DY,jacqueline.rutherford@hackney.gov.uk,105467876,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
450495-2021,Active,,United Kingdom,Leeds,Works for complete or part construction and civil engineering work,United Kingdom-Leeds: Works for complete or part construction and civil engineering work,450495-2021,06/09/2021,172,LEEDS,Leeds City Council (08191364),EN,UK,3 - Regional or local authority,-,01/09/2021,1 - Works,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,42515000 - District heating boiler45200000 - Works for complete or part construction and civil engineering work,UKE42,www.leeds.gov.uk,Public procurement Directive 2014/24/EU,nan,53.7974185,-1.5437941,412506-2020,02/09/2020,30/09/2020,3 - Contract notice,Leeds City Council,153273-2021,26/03/2021,nan,nan,nan,nan,nan,nan,"This construction procurement is to obtain a contractor to design, build, operate and maintain low carbon district heating networks.The six clusters are planned to be delivered in three batches – two per batch, with works on site from Spring 2021 to Spring 2024",LS1 3DL,Thomas.Regan@leeds.gov.uk,24000000.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
448170-2021,Active,,United Kingdom,Perth,Ancillary works for electricity power lines,United Kingdom-Perth: Ancillary works for electricity power lines,448170-2021,03/09/2021,171,PERTH,Scottish Hydro Electric Transmission plc (SC213461),EN,UK,4 - Utilities entity,-,31/08/2021,1 - Works,4 - Negotiated procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,45232200 - Ancillary works for electricity power lines45231400 - Construction work for electricity power lines,UKM6,www.sse.com,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,56.3957679,-3.4335463,52412-2014,14/02/2014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
448169-2021,Active,,United Kingdom,Paisley,Social work and related services,United Kingdom-Paisley: Social work and related services,448169-2021,03/09/2021,171,PAISLEY,Scotland Excel (SC453580),EN,UK,6 - Body governed by public law,-,31/08/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,9 - Not applicable,85312000 - Social work services without accommodation85300000 - Social work and related services85310000 - Social work services,UKM,http://www.scotland-excel.org.uk,Public procurement Directive 2014/24/EU,nan,55.8455828,-4.4239646,406019-2020,28/08/2020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
448168-2021,Active,,United Kingdom,Ebbw Vale,Transport services (excl. Waste transport),United Kingdom-Ebbw Vale: Transport services (excl. Waste transport),448168-2021,03/09/2021,171,EBBW VALE,Blaenau Gwent County Borough Council,EN,UK,3 - Regional or local authority,-,31/08/2021,4 - Services,1 - Open procedure,2 - Additional information,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,1 - Lowest price,60170000 - Hire of passenger transport vehicles with driver34114400 - Minibuses34121000 - Buses and coaches60100000 - Road transport services60000000 - Transport services (excl. Waste transport)60120000 - Taxi services60130000 - Special-purpose road passenger-transport services60140000 - Non-scheduled passenger transport60172000 - Hire of buses and coaches with driver,UKL16,http://www.blaenau-gwent.gov.uk/,Public procurement Directive 2014/24/EU,31/08/2023,51.7812925,-3.2084383,97050-2016,23/03/2016,29/04/2016,3 - Contract notice,Blaenau Gwent County Borough Council,154726-2016,06/05/2016,31/08/2023,3 - Contract notice,Blaenau Gwent County Borough Council,448168-2021,03/09/2021,31/08/2023,nan,nan,nan,nan,nan,nan,2 - Additional information,Blaenau Gwent County Borough Council,180317-2017,12/05/2017,nan,nan,nan,nan,nan,nan, GBR, 826,,
448166-2021,Active,,United Kingdom,Aberdeen,Insurance brokerage and agency services,United Kingdom-Aberdeen: Insurance brokerage and agency services,448166-2021,03/09/2021,171,ABERDEEN,Aberdeen City Council,EN,UK,3 - Regional or local authority,-,31/08/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,66518000 - Insurance brokerage and agency services66518100 - Insurance brokerage services,UKM50,http://www.aberdeencity.gov.uk,Public procurement Directive 2014/24/EU,nan,57.1482429,-2.0928095,551992-2020,17/11/2020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Provision of Broker Insurance Services (TECA),AB16 5GB,CPSSprocurement@aberdeencity.gov.uk,3017500,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
448165-2021,Active,,United Kingdom,Ayr,"IT services: consulting, software development, Internet and support","United Kingdom-Ayr: IT services: consulting, software development, Internet and support",448165-2021,03/09/2021,171,AYR,South Ayrshire Council,EN,UK,3 - Regional or local authority,-,30/08/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"72416000 - Application service providers72415000 - World wide web (www) site operation host services50324100 - System maintenance services72422000 - Internet or intranet server application development services72212000 - Programming services of application software72421000 - Internet or intranet client application development services50332000 - Telecommunications-infrastructure maintenance services72212210 - Networking software development services72200000 - Software programming and consultancy services72212200 - Networking, Internet and intranet software development services50312300 - Maintenance and repair of data network equipment72000000 - IT services: consulting, software development, Internet and support50334400 - Communications system maintenance services50312610 - Maintenance of information technology equipment44316400 - Hardware72212214 - Network operating system software development services",UKM94,http://www.south-ayrshire.gov.uk/procurement/,Public procurement Directive 2014/24/EU,nan,55.4628044,-4.6302502,417143-2020,04/09/2020,05/10/2020,3 - Contract notice,South Ayrshire Council,448165-2021,03/09/2021,nan,nan,nan,nan,nan,nan,"South Ayrshire Council is seeking to replace their current Leisure Management System.  This is required to enable customers to check availability, book and pay (where applicable) for different types of bookable resources across all of our community and leisure facilities in South Ayrshire.South Ayrshire Council requires the solution to be fully hosted externally by the Supplier.",KA7 1DR,procurement@south-ayrshire.gov.uk,496629.62,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
448164-2021,Active,,United Kingdom,Huddersfield,Education and training services,United Kingdom-Huddersfield: Education and training services,448164-2021,03/09/2021,171,HUDDERSFIELD,The Council of the Borough of Kirklees,EN,UK,3 - Regional or local authority,-,31/08/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,80000000 - Education and training services,UKE44,http://www.kirklees.gov.uk,Public procurement Directive 2014/24/EU,nan,53.6466645,-1.7822482,496158-2017,13/12/2017,31/01/2022,Y - Dynamic purchasing system,The Council of the Borough of Kirklees,204290-2018,12/05/2018,nan,nan,nan,nan,nan,nan,"The ‘ESOL for Integration Fund 2021-22' is funded by the Ministry of Housing, Communities and Local Government. Kirklees is a diverse and inclusive district and is committed to strengthening our communities to ensure everyone can progress no matter what their background.  This means empowering those who speak little or no English, by boosting language skills, building confidence to unleash their potential, reduce isolation and ensuring everyone can participate in their community. Community based intervention has been proven to work with learners at New to ESOL level (pre-Entry up to Entry 1) evidencing an increase in both English language proficiency and social integration outcomes including confidence, social mixing and access to public services.This call is intending to deliver qualified tutor led English classes in local communities to support resident developing their English skills and integration in Kirklees. ",HD1 2EY,ebrahimz.loonat@kirklees.gov.uk,75500.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
448163-2021,Active,,United Kingdom,Livingston,Repair and maintenance services of central heating,United Kingdom-Livingston: Repair and maintenance services of central heating,448163-2021,03/09/2021,171,LIVINGSTON,Horizon Housing Association,EN,UK,6 - Body governed by public law,-,30/08/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,09123000 - Natural gas50720000 - Repair and maintenance services of central heating,UKM76UKM77UKM78UKM8UKM82UKM84UKM93UKM94,http://www.horizonhousing.org,Public procurement Directive 2014/24/EU,nan,55.8831932,-3.5149461,520331-2019,04/11/2019,29/11/2019,3 - Contract notice,Horizon Housing Association,440966-2021,31/08/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
448162-2021,Active,,United Kingdom,London,Health and social work services,United Kingdom-London: Health and social work services,448162-2021,03/09/2021,171,LONDON,London Borough of Barnet,EN,UK,3 - Regional or local authority,-,30/08/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,85323000 - Community health services85100000 - Health services85000000 - Health and social work services,UKI71,www.barnetsourcing.co.uk,Public procurement Directive 2014/24/EU,nan,51.5073219,-0.1276474,352998-2020,27/07/2020,24/08/2020,3 - Contract notice,London Borough of Barnet,448162-2021,03/09/2021,nan,nan,nan,nan,nan,nan,"The London Borough of Barnet is seeking to award a contract for it's Family Health Coaches and Perinatal Mental Health Coaches Service. The focus of the Family Health Coaches service is required to address the assessed needs of families affected by mental health problems, domestic violence and substance misuse. The focus of the Perinatal Mental Health Coaches service is to provide a low intensity emotional wellbeing support for women with or at risk of developing mild to moderate (also referred as ‘common’) perinatal mental health problems. Both services are expected to:- identify families with needs and directly raise the Early Help assessment- contribute to the Team Around the Family/Child- take the Lead Practitioner role where appropriate- be part of an exit strategy in the form of a step down service to the Social Services",NW9 4EW,procurement@barnet.gov.uk,480000,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
448161-2021,Active,,United Kingdom,London,Health and social work services,United Kingdom-London: Health and social work services,448161-2021,03/09/2021,171,LONDON,London Borough of Barnet Council,EN,UK,3 - Regional or local authority,-,30/08/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,85000000 - Health and social work services,UKI71,www.barnetsourcing.co.uk,Public procurement Directive 2014/24/EU,nan,51.5073219,-0.1276474,530463-2019,08/11/2019,13/12/2019,3 - Contract notice,London Borough of Barnet Council,448161-2021,03/09/2021,nan,nan,nan,nan,nan,nan,Provision of a Healthwatch Service for the London Borough of Barnet Council.,NW9 4EW,procurement@barnet.gov.uk,607393.61,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
448160-2021,Active,,United Kingdom,Manchester,Air filters,United Kingdom-Manchester: Air filters,448160-2021,03/09/2021,171,MANCHESTER,NWUPC Ltd,EN,UK,8 - Other,-,31/08/2021,2 - Supplies,1 - Open procedure,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,90731100 - Air quality management90731300 - Air pollution protection services42514310 - Air filters50000000 - Repair and maintenance services,nan,nan,nan,nan,53.4794892,-2.2451148,88728-2017,09/03/2017,24/04/2017,3 - Contract notice,NWUPC Ltd,146031-2017,15/04/2017,24/04/2017,2 - Additional information,NWUPC Ltd,303072-2017,02/08/2017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
448158-2021,Active,,United Kingdom,Worcester,Time accounting or human resources software package,United Kingdom-Worcester: Time accounting or human resources software package,448158-2021,03/09/2021,171,WORCESTER,University of Worcester,EN,UK,6 - Body governed by public law,-,31/08/2021,2 - Supplies,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,48400000 - Business transaction and personal business software package48450000 - Time accounting or human resources software package,UKG12,http://www.worc.ac.uk/,Public procurement Directive 2014/24/EU,nan,52.1911849,-2.2206585,265779-2020,08/06/2020,16/07/2020,3 - Contract notice,University of Worcester,448158-2021,03/09/2021,nan,nan,nan,nan,nan,nan,"The University of Worcester Human Resources and Payroll departments are looking to procure and implement a high quality cloud-based, automated HR and Payroll Solution which is modern, efficient, and customer friendly. The HR and Payroll Solution will manage an employee’s complete employment lifecycle from entry to exit, including all pay and benefits and complying with the requirements of GDPR and HMRC guidelines. Together with appropriate ongoing support and maintenance services.",WR2 6AJ,J.Stock@worc.ac.uk,1100000.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
448157-2021,Active,,United Kingdom,Cardiff,Laboratory reagents,United Kingdom-Cardiff: Laboratory reagents,448157-2021,03/09/2021,171,CARDIFF,NHS Wales Shared Services Partnership,EN,UK,6 - Body governed by public law,-,31/08/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,33696500 - Laboratory reagents,UKL,http://nwssp.nhs.wales/ourservices/procurement-services/,Public procurement Directive 2014/24/EU,nan,51.4816546,-3.1791934,594915-2020,09/12/2020,08/01/2021,3 - Contract notice,NHS Wales Shared Services Partnership,448157-2021,03/09/2021,nan,nan,nan,nan,nan,nan,"The NHS Wales Shared Services Partnership, hosted by Velindre NHS Trust are acting on behalf of Cardiff and Vale University Local Health Board who were seeking to establish a contract for Single Nucleotide Polymorphism (SNP) Array Reagents and Platform",CF14 4HH,emma.lane@wales.nhs.uk,950000.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
448156-2021,Active,,United Kingdom,London,Urban development construction work,United Kingdom-London: Urban development construction work,448156-2021,03/09/2021,171,LONDON,GLA Land and Property Ltd (GLA) (a wholly owned subsidiary of Greater London Authority),EN,UK,3 - Regional or local authority,-,31/08/2021,1 - Works,V - Contract award without prior publication,V - Voluntary ex ante transparency notice,Z - Not specified,9 - Not applicable,Z - Not specified,45211360 - Urban development construction work,UK,http://www.london.gov.uk,Public procurement Directive 2014/24/EU,nan,51.5073219,-0.1276474,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
448155-2021,Active,,United Kingdom,Inverness,Building construction work,United Kingdom-Inverness: Building construction work,448155-2021,03/09/2021,171,INVERNESS,The Highland Council,EN,UK,3 - Regional or local authority,-,30/08/2021,1 - Works,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,45210000 - Building construction work,UKM6,http://www.highland.gov.uk/,Public procurement Directive 2014/24/EU,nan,57.4790124,-4.225739,526664-2019,07/11/2019,17/12/2019,3 - Contract notice,The Highland Council,448155-2021,03/09/2021,nan,nan,nan,nan,nan,nan,"Construction of 52 Nr new social housing units at Stratton Farm, Inverness",IV3 5NX,contracts.team@highland.gov.uk,8354928.60,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
443310-2021,Active,,United Kingdom,Reading,Electricity distribution and control apparatus,United Kingdom-Reading: Electricity distribution and control apparatus,443310-2021,01/09/2021,169,READING,Thames Water Utilities Limited,EN,UK,4 - Utilities entity,-,27/08/2021,2 - Supplies,4 - Negotiated procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,31214000 - Switchgear31211110 - Control panels31200000 - Electricity distribution and control apparatus45315400 - High voltage installation work,UKIUKJ,www.thameswater.co.uk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,51.456659,-0.9696512,215901-2020,08/05/2020,27/05/2020,3 - Contract notice,Thames Water Utilities Ltd,443310-2021,01/09/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
443309-2021,Active,,United Kingdom,London,"Hotel, restaurant and retail trade services","United Kingdom-London: Hotel, restaurant and retail trade services",443309-2021,01/09/2021,169,LONDON,London Universities Purchasing Consortium (N/A),EN,UK,6 - Body governed by public law,-,27/08/2021,4 - Services,2 - Restricted procedure,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,"55000000 - Hotel, restaurant and retail trade services79410000 - Business and management consultancy services",UK,https://www.lupc.ac.uk,Public procurement Directive 2014/24/EU,nan,51.5073219,-0.1276474,61450-2017,17/02/2017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
